"Snr","Stadtteil","unter 55","55 bis 64","65 bis 74","75 bis 79","80 bis 84","85 und mehr","Durchschnittsalter"
"01","Stadtkern","3","8",9,8,"9","21","77,3"
"02","Ostviertel","7","8",18,27,"15","36","77,8"
"03","Nordviertel","6","6",8,11,"9","8","72,9"
"04","Westviertel","5","6",17,12,"14","52","80,8"
"05","Südviertel","7","8",17,13,"20","44","78,9"
"06","Südostviertel","10","11",18,9,"10","19","73,2"
"11","Huttrop","8","17",33,26,"28","75","78,7"
"36","Frillendorf","6","9",19,7,"6","11","72,0"
"10","Rüttenscheid","15","33",61,49,"57","153","79,3"
"12","Rellinghausen","5","4",4,8,"6","40","82,5"
"13","Bergerhausen","6","12",28,15,"26","63","79,6"
"14","Stadtwald","3","9",16,17,"18","84","83,6"
"07","Altendorf","28","29",43,49,"27","40","72,3"
"08","Frohnhausen","26","52",69,71,"47","101","75,3"
"09","Holsterhausen","17","26",44,45,"56","93","77,7"
"15","Fulerum",".",".",7,8,"3","9","75,3"
"28","Haarzopf",".",".",19,19,"23","44","81,1"
"41","Margarethenhöhe","4","4",10,18,"16","41","81,9"
"16","Schönebeck","4","5",13,19,"21","47","80,7"
"17","Bedingrade","8","14",27,38,"31","48","77,7"
"18","Frintrop","8","7",18,32,"23","37","78,1"
"19","Dellwig","7","10",17,21,"15","28","76,6"
"20","Gerschede","8","6",21,15,"16","14","74,7"
"21","Borbeck-Mitte","11","16",38,39,"20","46","76,3"
"22","Bochold","19","30",37,43,"30","54","74,5"
"23","Bergeborbeck","4","8",8,8,"3","7","68,4"
"24","Altenessen-Nord","19","25",41,39,"41","57","75,1"
"25","Altenessen-Süd","25","38",67,53,"48","81","74,8"
"40","Karnap","8","10",14,18,"13","37","76,6"
"50","Vogelheim","7","6",21,18,"22","33","78,3"
"37","Schonnebeck","10","15",24,25,"27","48","76,7"
"38","Stoppenberg","12","22",47,38,"39","66","77,5"
"39","Katernberg","24","28",48,48,"41","61","74,1"
"34","Steele","18","24",44,45,"32","158","80,2"
"35","Kray","21","30",50,31,"21","64","74,3"
"45","Freisenbruch","10","20",45,47,"28","65","77,0"
"46","Horst",".","15",18,14,".","13","73,5"
"47","Leithe",".","7",13,12,".","20","75,8"
"31","Heisingen","14","6",27,25,"24","69","79,0"
"32","Kupferdreh","8","10",40,32,"24","59","78,3"
"33","Byfang",".",".",11,3,".",".","69,2"
"43","Überruhr-Hinsel","6","7",23,18,"20","33","78,1"
"44","Überruhr-Holthausen","-","9",21,32,"35","55","81,1"
"48","Burgaltendorf",".",".",16,18,".",".","78,7"
"26","Bredeney","6","8",18,13,"12","35","77,4"
"27","Schuir",".",".",5,4,".","15","81,6"
"29","Werden","4","13",29,25,"19","56","79,5"
"30","Heidhausen",".",".",21,12,".","43","79,5"
"42","Fischlaken","-","8",12,9,"9","11","76,1"
"49","Kettwig","7","15",41,31,"27","100","80,4"
