"Snr","Stadtteil","nur_deutsch","doppelte","nur_auslaendische"
"01","Stadtkern",1658,518,1439
"02","Ostviertel",3724,885,2109
"03","Nordviertel",4242,1299,2553
"04","Westviertel",1475,245,633
"05","Südviertel",8276,1062,2074
"06","Südostviertel",7351,1464,3067
"11","Huttrop",11419,1405,2162
"36","Frillendorf",456,487,691
"10","Rüttenscheid",24253,1609,2674
"12","Rellinghausen",3278,150,278
"13","Bergerhausen",10376,547,713
"14","Stadtwald",9378,315,305
"07","Altendorf",13006,2691,5742
"08","Frohnhausen",24473,2736,4535
"09","Holsterhausen",19448,2167,3848
"15","Fulerum",3086,120,107
"28","Haarzopf",6269,206,310
"41","Margarethenhöhe",6484,412,457
"16","Schönebeck",9076,436,417
"17","Bedingrade",11044,621,427
"18","Frintrop",7544,450,601
"19","Dellwig",7618,717,577
"20","Gerschede",6533,761,436
"21","Borbeck-Mitte",11416,111,1184
"22","Bochold",12702,2415,2642
"23","Bergeborbeck",3113,477,720
"24","Altenessen-Nord",11935,2311,2916
"25","Altenessen-Süd",16861,4076,4986
"40","Karnap",5986,802,986
"50","Vogelheim",3953,931,1022
"37","Schonnebeck",8744,1138,1394
"38","Stoppenberg",12249,2492,2134
"39","Katernberg",15732,3146,4137
"34","Steele",13474,1398,1749
"35","Kray",14846,1571,2918
"45","Freisenbruch",12589,2351,1459
"46","Horst",7409,15,795
"47","Leithe",5571,527,797
"31","Heisingen",1205,430,393
"32","Kupferdreh",10115,595,832
"33","Byfang",1929,45,52
"43","Überruhr-Hinsel",7074,435,428
"44","Überruhr-Holthausen",6603,963,593
"48","Burgaltendorf",8881,253,345
"26","Bredeney",9413,513,595
"27","Schuir",134,77,82
"29","Werden",8599,358,777
"30","Heidhausen",586,231,301
"42","Fischlaken",4077,119,147
"49","Kettwig",15969,640,884
