"Snr","Stadtteil","nur_deutsch","doppelte","nur_auslaendische"
"01","Stadtkern",1597,527,1625
"02","Ostviertel",3644,932,2392
"03","Nordviertel",4119,1326,3281
"04","Westviertel",1506,267,101
"05","Südviertel",8187,111,2229
"06","Südostviertel",7254,1573,356
"11","Huttrop",11339,1479,2332
"36","Frillendorf",4511,512,732
"10","Rüttenscheid",24173,1701,2801
"12","Rellinghausen",3282,158,272
"13","Bergerhausen",10308,600,766
"14","Stadtwald",9286,336,345
"07","Altendorf",12707,2686,6504
"08","Frohnhausen",24259,2912,5081
"09","Holsterhausen",19283,2273,4492
"15","Fulerum",3079,146,111
"28","Haarzopf",6257,225,443
"41","Margarethenhöhe",6422,425,505
"16","Schönebeck",9019,459,457
"17","Bedingrade",10948,632,472
"18","Frintrop",7479,472,702
"19","Dellwig",7525,723,672
"20","Gerschede",6454,817,493
"21","Borbeck-Mitte",11307,1178,1318
"22","Bochold",12445,2493,3008
"23","Bergeborbeck",3067,483,853
"24","Altenessen-Nord",11698,2373,3113
"25","Altenessen-Süd",1654,4205,6219
"40","Karnap",6008,828,1385
"50","Vogelheim",3846,933,1031
"37","Schonnebeck",8684,1175,1604
"38","Stoppenberg",12072,2576,2382
"39","Katernberg",15565,3272,4363
"34","Steele",13245,1437,1888
"35","Kray",14629,169,327
"45","Freisenbruch",12412,231,1725
"46","Horst",7576,1562,1422
"47","Leithe",5579,574,853
"31","Heisingen",11922,471,417
"32","Kupferdreh",10025,603,932
"33","Byfang",1942,57,52
"43","Überruhr-Hinsel",7039,452,482
"44","Überruhr-Holthausen",6508,1006,628
"48","Burgaltendorf",8844,277,388
"26","Bredeney",9362,527,635
"27","Schuir",1314,72,95
"29","Werden",8543,397,855
"30","Heidhausen",5818,241,458
"42","Fischlaken",4066,124,170
"49","Kettwig",16023,714,921
