SNR,Stadtteil,u3,3 bis 5,6 bis 9,10 bis 14,15 bis 17,18 bis 24,25 bis 34,35 bis 44,45 bis 54,55 bis 64,65 bis 69,70 bis 74,75 bis 79,80 bis 84,85+
1,Stadtkern,91,90,97,147,91,448,655,463,425,285,125,110,81,59,37
2,Ostviertel,212,190,219,292,188,715,1162,993,940,637,264,284,221,174,170
3,Nordviertel,249,262,253,350,197,1015,1407,960,942,678,312,327,249,209,102
4,Westviertel,41,45,46,38,16,150,331,200,207,184,102,114,101,143,212
5,Südviertel,284,219,251,295,188,1019,2283,1664,1524,11,498,486,383,351,326
6,Südostviertel,338,354,357,452,292,117,2041,1657,1557,1146,527,537,303,282,172
7,Altendorf,649,651,799,910,596,2062,3041,2968,2789,2084,961,1019,721,517,363
8,Frohnhausen,809,767,968,1183,789,2744,4847,4829,4605,3441,1696,1758,1126,1002,693
9,Holsterhausen,599,502,605,760,452,2183,4902,3717,3438,261,1237,1367,939,846,682
10,Rüttenscheid,705,527,643,872,540,18,499,46,3962,3118,1659,1541,1102,1018,933
11,Huttrop,357,337,409,594,388,1158,1739,201,2211,1836,897,982,678,571,505
12,Rellinghausen,69,61,120,137,102,199,312,461,585,454,210,223,181,227,290
13,Bergerhausen,239,240,331,443,319,683,1216,1741,1869,1515,799,898,567,478,381
14,Stadtwald,214,216,319,412,249,566,890,1509,1611,136,800,707,426,408,426
15,Fulerum,73,61,117,142,77,198,273,503,538,414,292,295,185,113,65
16,Schönebeck,218,204,323,438,279,688,937,1457,1747,1397,719,675,458,333,241
17,Bedingrade,211,248,351,575,353,904,1119,1752,2024,1713,835,1002,601,414,256
18,Frintrop,160,155,251,399,241,653,892,1183,1377,1114,550,629,410,307,212
19,Dellwig,173,195,283,432,338,725,940,128,1552,1197,600,581,408,265,193
20,Gerschede,195,171,242,330,261,652,878,1132,136,999,460,466,374,209,135
21,Borbeck-Mitte,258,269,394,552,392,1063,1533,1819,2184,1712,783,947,650,507,334
22,Bochold,496,488,594,853,653,1638,2096,2329,2825,2298,1025,1062,768,558,285
23,Bergeborbeck,125,141,172,250,173,434,545,556,666,479,179,237,164,103,56
24,Altenessen-Nord,457,488,703,969,592,1472,2021,2361,2532,2019,898,877,654,464,303
25,Altenessen-Süd,811,797,1018,1243,860,2469,3468,3542,365,3153,1324,1269,937,676,478
26,Bredeney,250,208,313,462,321,538,919,1626,163,1461,872,790,465,425,342
27,Schuir,32,29,46,76,45,93,108,182,263,214,101,124,78,75,55
28,Haarzopf,114,129,201,285,176,350,443,958,1033,887,572,548,345,277,280
29,Werden,190,215,310,378,216,639,894,143,1433,1324,784,721,438,416,392
30,Heidhausen,127,144,216,293,205,399,470,864,986,949,444,433,254,238,241
31,Heisingen,264,284,409,539,383,702,987,1673,2135,1777,1008,928,660,537,434
32,Kupferdreh,272,262,377,508,361,799,1134,1795,184,1452,696,640,463,332,337
33,Byfang,41,33,58,83,52,141,168,314,375,308,170,148,87,80,52
34,Steele,346,357,534,750,516,1299,1806,2316,2682,2093,997,1011,715,623,693
35,Kray,488,500,688,1021,672,207,2417,2793,3127,2072,951,1075,797,593,352
36,Frillendorf,145,119,179,217,179,495,672,868,101,770,359,337,222,140,102
37,Schonnebeck,259,283,405,581,428,906,122,1614,1805,1408,553,583,493,372,234
38,Stoppenberg,435,473,696,996,610,1399,1858,2512,2748,2045,871,944,655,476,270
39,Katernberg,639,742,994,1435,878,2134,2652,3271,3515,2542,1101,1164,913,659,379
40,Karnap,200,241,300,457,295,709,834,1222,1324,874,397,411,269,251,178
41,Margarethenhöhe,158,168,235,347,221,542,774,990,1094,799,502,553,393,335,319
42,Fischlaken,108,132,137,160,122,270,357,644,723,631,346,316,183,147,113
43,Überruhr-Hinsel,135,156,204,328,248,565,660,1022,1326,1114,607,638,475,342,248
44,Überruhr-Holthausen,166,206,280,361,255,556,763,1047,1259,1228,612,563,469,334,265
45,Freisenbruch,411,442,632,827,520,1417,1681,2114,243,2049,111,1191,820,552,390
46,Horst,228,230,354,499,354,846,1007,1323,1652,1444,749,664,396,266,124
47,Leithe,143,166,230,342,241,647,749,890,1049,769,453,515,377,238,131
48,Burgaltendorf,209,201,302,398,281,611,910,1363,1628,1416,744,671,418,272,212
49,Kettwig,376,394,561,780,475,958,1436,2581,2728,2558,1349,1287,831,698,588
50,Vogelheim,161,163,250,317,242,568,681,823,939,740,263,326,242,191,146
