"Snr","Stadtteil","nur_deutsch","doppelte","nur_auslaendische"
"01","Stadtkern",1557,473,1174
"02","Ostviertel",4233,800,1628
"03","Nordviertel",4542,1027,1943
"04","Westviertel",1288,194,448
"05","Südviertel",8531,847,1493
"06","Südostviertel",7748,1089,2348
"11","Huttrop",12006,1082,1584
"36","Frillendorf",4936,356,522
"10","Rüttenscheid",24632,1232,2146
"12","Rellinghausen",3297,107,227
"13","Bergerhausen",10806,393,520
"14","Stadtwald",9585,236,292
"07","Altendorf",13606,2174,435
"08","Frohnhausen",25405,2111,3741
"09","Holsterhausen",20153,1702,2984
"15","Fulerum",3166,77,103
"28","Haarzopf",632,120,158
"41","Margarethenhöhe",6699,386,345
"16","Schönebeck",9431,342,341
"17","Bedingrade",11423,489,446
"18","Frintrop",7903,344,286
"19","Dellwig",8043,638,481
"20","Gerschede",6777,721,366
"21","Borbeck-Mitte",1159,878,929
"22","Bochold",13757,2147,2064
"23","Bergeborbeck",3327,407,546
"24","Altenessen-Nord",12293,1961,2556
"25","Altenessen-Süd",17974,3491,423
"40","Karnap",6293,723,946
"50","Vogelheim",4329,764,959
"37","Schonnebeck",9092,960,1092
"38","Stoppenberg",1293,2285,1773
"39","Katernberg",16441,2749,3828
"34","Steele",1394,1246,1552
"35","Kray",15649,1307,266
"45","Freisenbruch",13121,2214,1251
"46","Horst",7833,1614,689
"47","Leithe",5985,431,524
"31","Heisingen",12079,287,354
"32","Kupferdreh",10144,482,642
"33","Byfang",2043,31,36
"43","Überruhr-Hinsel",7453,375,240
"44","Überruhr-Holthausen",6893,909,562
"48","Burgaltendorf",9217,219,200
"26","Bredeney",9749,394,479
"27","Schuir",1414,55,52
"29","Werden",8912,284,584
"30","Heidhausen",5888,144,231
"42","Fischlaken",4163,103,123
"49","Kettwig",16305,476,819
