SNR,Stadtteil,u3,3 bis 5,6 bis 9,10 bis 14,15 bis 17,18 bis 24,25 bis 34,35 bis 44,45 bis 54,55 bis 64,65 bis 69,70 bis 74,75 bis 79,80 bis 84,85+
1,Stadtkern,80,90,101,130,93,466,719,433,409,309,104,122,96,77,92
2,Ostviertel,199,177,236,289,177,724,1201,931,933,666,234,243,235,166,150
3,Nordviertel,261,246,295,328,182,1122,1476,962,928,698,248,279,247,216,111
4,Westviertel,33,34,44,42,19,162,323,192,193,196,82,120,98,83,171
5,Südviertel,283,241,255,291,165,1004,2493,1613,1468,1129,438,492,374,316,346
6,Südostviertel,337,339,377,420,280,1279,2194,1624,1613,12,450,550,329,238,183
7,Altendorf,614,620,781,922,576,2277,3211,2771,294,2251,812,993,766,490,360
8,Frohnhausen,777,776,975,1138,778,2899,4884,4431,4751,3536,1427,1712,1267,927,749
9,Holsterhausen,592,557,632,736,469,2252,5185,3627,3481,2734,1051,1295,997,797,652
10,Rüttenscheid,711,569,612,849,511,1811,5201,4405,4042,3237,1394,1659,1143,955,1005
11,Huttrop,313,361,444,577,394,1172,1809,1895,2284,1933,762,956,740,567,513
12,Rellinghausen,76,66,98,150,92,197,319,425,568,478,180,223,181,218,320
13,Bergerhausen,225,217,330,463,275,739,1266,1513,1895,1675,640,913,592,455,431
14,Stadtwald,239,216,285,428,259,515,951,1338,1679,1415,643,808,491,393,420
15,Fulerum,70,80,88,137,82,177,286,441,575,444,236,278,214,126,81
16,Schönebeck,182,213,315,436,268,648,980,1266,177,1511,611,714,486,355,280
17,Bedingrade,169,225,349,550,344,856,1196,1486,2141,1731,746,967,705,457,268
18,Frintrop,170,164,225,358,244,667,928,1044,1413,119,448,599,467,329,223
19,Dellwig,193,176,274,397,303,743,1011,1153,1585,1251,496,570,428,273,190
20,Gerschede,180,196,230,325,232,620,947,1006,1366,1073,379,473,396,238,132
21,Borbeck-Mitte,295,257,379,594,362,1198,1674,1705,2275,1798,673,890,728,529,346
22,Bochold,473,514,601,828,548,1621,2161,2135,2783,2449,890,108,812,568,347
23,Bergeborbeck,148,115,176,220,167,462,530,549,670,533,160,216,168,94,53
24,Altenessen-Nord,414,500,692,945,589,146,1955,2325,2575,2135,785,896,683,463,334
25,Altenessen-Süd,714,786,1013,1245,768,2553,3649,3241,3635,3275,1108,1322,983,696,500
26,Bredeney,248,236,299,458,294,544,938,1507,1732,1438,744,848,547,393,361
27,Schuir,32,34,47,70,45,102,106,163,266,209,103,123,71,65,65
28,Haarzopf,121,135,213,294,176,358,473,874,1094,922,489,562,404,294,284
29,Werden,182,205,301,396,226,639,909,1305,1503,1365,678,799,507,386,427
30,Heidhausen,121,150,220,285,197,415,467,826,1065,985,405,428,290,242,226
31,Heisingen,265,297,403,572,333,726,983,1629,2146,1924,841,966,725,567,468
32,Kupferdreh,260,286,365,476,305,812,118,1596,1953,1481,571,722,506,329,336
33,Byfang,39,43,46,79,49,122,174,271,401,313,147,153,111,68,65
34,Steele,323,342,499,704,467,1303,1878,2073,2713,2191,868,1038,793,629,747
35,Kray,437,469,661,928,634,1816,2373,252,3253,2206,827,103,799,572,422
36,Frillendorf,135,148,143,240,150,517,668,743,1012,834,333,316,220,162,115
37,Schonnebeck,281,281,411,548,391,959,1215,1541,1787,1552,497,539,494,362,249
38,Stoppenberg,410,482,626,962,600,1444,191,2315,2836,2199,747,893,731,520,305
39,Katernberg,637,685,103,1355,885,2218,2582,3136,3534,2697,973,1106,940,660,424
40,Karnap,200,210,286,407,272,718,849,1066,138,928,330,401,294,216,205
41,Margarethenhöhe,134,174,228,330,217,558,697,921,1174,826,405,564,438,326,312
42,Fischlaken,99,121,180,171,101,262,341,604,724,640,287,348,221,154,108
43,Überruhr-Hinsel,146,154,212,322,240,520,716,933,1317,1213,485,646,531,363,280
44,Überruhr-Holthausen,186,193,264,368,227,552,768,943,1285,1266,538,577,465,389,275
45,Freisenbruch,408,466,582,813,496,1327,1733,1942,2443,2146,852,1239,908,546,428
46,Horst,241,232,324,481,308,836,1024,1213,1648,1468,622,741,434,278,161
47,Leithe,150,183,234,318,254,712,748,825,1077,824,351,465,446,251,131
48,Burgaltendorf,190,213,299,401,258,609,929,1217,1628,1454,626,725,471,300,233
49,Kettwig,328,415,528,776,460,969,1472,2278,2916,2568,121,1364,929,717,619
50,Vogelheim,171,166,236,309,213,571,661,743,926,806,209,291,256,186,159
