SNR,Stadtteil,u3,3 bis 5,6 bis 9,10 bis 14,15 bis 17,18 bis 24,25 bis 34,35 bis 44,45 bis 54,55 bis 64,65 bis 69,70 bis 74,75 bis 79,80 bis 84,85+
1,Stadtkern,86,87,98,121,96,513,803,455,401,307,104,134,104,69,113
2,Ostviertel,192,186,205,272,186,746,1228,961,931,681,226,232,250,159,148
3,Nordviertel,266,255,316,338,204,125,1535,987,936,725,251,286,251,182,132
4,Westviertel,36,30,43,41,23,167,346,199,196,195,74,111,105,91,158
5,Südviertel,289,230,254,304,171,989,2653,1619,1468,116,430,478,375,296,323
6,Südostviertel,340,299,408,420,266,1356,2268,1605,1634,1218,439,536,361,224,191
7,Altendorf,621,641,829,890,581,2339,3282,2815,2972,2303,790,960,783,486,387
8,Frohnhausen,781,765,997,1152,774,2914,5105,4296,4817,3648,1373,1654,1325,894,773
9,Holsterhausen,607,518,623,712,471,2332,5312,3469,3471,2797,101,1232,1054,715,656
10,Rüttenscheid,715,564,635,809,483,1891,5457,4302,4117,3245,1349,163,1207,936,1027
11,Huttrop,342,363,469,590,386,1188,1884,1827,2306,1937,785,893,787,531,526
12,Rellinghausen,73,81,93,154,89,202,323,421,590,499,177,215,191,202,336
13,Bergerhausen,217,231,325,442,277,715,1292,1437,1912,1679,642,858,634,446,423
14,Stadtwald,240,208,290,415,248,490,919,1295,1697,1402,616,811,546,351,436
15,Fulerum,61,75,91,124,93,166,306,391,589,447,241,268,234,135,87
16,Schönebeck,173,220,296,419,263,666,1004,119,1727,1564,580,697,537,353,284
17,Bedingrade,188,230,325,507,362,861,1177,1409,2153,1733,736,917,744,427,301
18,Frintrop,151,186,213,348,258,641,941,995,1407,1253,444,587,517,312,239
19,Dellwig,212,199,270,376,286,772,982,1122,1597,1271,492,580,447,276,191
20,Gerschede,181,201,231,324,219,609,960,945,14,1106,366,435,416,233,147
21,Borbeck-Mitte,274,262,377,562,363,1212,166,1656,2235,187,673,805,793,500,387
22,Bochold,465,529,637,791,534,1604,2201,2086,2744,2484,912,1029,860,550,363
23,Bergeborbeck,161,145,175,216,162,470,570,527,668,534,155,197,176,99,57
24,Altenessen-Nord,449,488,661,933,619,1454,2015,2287,2559,2202,782,883,662,459,350
25,Altenessen-Süd,699,796,1013,1236,754,2555,3731,3178,3662,3303,1113,1277,992,697,518
26,Bredeney,232,250,291,450,302,577,998,1428,1773,1429,726,833,604,376,376
27,Schuir,29,32,45,59,49,102,110,167,250,204,109,109,84,59,52
28,Haarzopf,126,138,201,284,191,329,456,814,1125,931,464,558,420,298,298
29,Werden,188,192,297,415,235,624,929,1259,1551,1329,659,825,536,383,444
30,Heidhausen,120,157,229,288,179,431,473,820,1073,995,388,443,317,223,245
31,Heisingen,261,303,411,546,320,728,981,1562,2206,198,832,928,782,530,518
32,Kupferdreh,289,282,349,459,300,785,1194,1477,2014,1501,575,681,524,326,341
33,Byfang,45,39,41,78,53,109,174,231,410,333,133,140,129,70,70
34,Steele,339,329,482,712,461,131,1918,199,2719,2241,889,1016,815,627,751
35,Kray,455,482,642,915,612,179,2457,2414,3256,2308,785,961,822,596,412
36,Frillendorf,130,146,165,222,146,507,692,699,994,846,331,298,227,159,124
37,Schonnebeck,300,269,399,561,374,1008,1258,1465,181,1579,526,510,515,357,273
38,Stoppenberg,402,473,614,926,603,1421,1927,222,2857,2254,748,840,772,502,305
39,Katernberg,596,685,1059,1308,903,217,2604,3034,3561,2771,978,1072,951,634,446
40,Karnap,197,197,292,376,290,711,856,1042,1415,981,313,382,301,199,200
41,Margarethenhöhe,135,187,243,319,217,593,716,908,1177,872,384,545,449,307,335
42,Fischlaken,97,111,186,183,95,268,329,585,752,630,308,319,248,150,102
43,Überruhr-Hinsel,155,158,227,287,223,519,726,918,1297,1236,467,615,544,377,295
44,Überruhr-Holthausen,178,191,264,374,212,532,769,918,1297,1261,543,564,475,375,303
45,Freisenbruch,442,421,609,794,523,1278,1774,1873,2393,2193,858,1166,925,554,456
46,Horst,220,234,316,451,315,790,102,1168,1646,1478,600,720,489,293,168
47,Leithe,151,160,242,286,243,695,787,803,107,856,328,435,461,248,141
48,Burgaltendorf,199,229,281,399,247,604,932,1193,162,1476,635,721,484,316,234
49,Kettwig,322,405,536,753,480,958,1459,2157,2989,2559,1215,1362,997,731,669
50,Vogelheim,172,165,230,298,193,580,676,725,937,817,228,260,262,190,160
