SNR,Stadtteil,u3,3 bis 5,6 bis 9,10 bis 14,15 bis 17,18 bis 24,25 bis 34,35 bis 44,45 bis 54,55 bis 64,65 bis 69,70 bis 74,75 bis 79,80 bis 84,85+
1,Stadtkern,85,80,112,133,87,587,940,480,412,322,113,104,111,74,109
2,Ostviertel,202,212,236,300,196,807,1391,965,945,726,249,207,204,171,157
3,Nordviertel,283,256,338,369,226,1433,1935,108,973,774,268,215,243,195,138
4,Westviertel,101,76,85,94,56,284,542,384,290,253,99,122,130,111,156
5,Südviertel,337,241,277,285,188,1029,291,1703,1436,122,429,395,442,277,357
6,Südostviertel,433,332,426,475,294,1524,2671,1628,1582,1255,499,413,450,234,171
7,Altendorf,693,624,897,1046,625,2444,3747,2842,3194,2432,860,757,814,495,427
8,Frohnhausen,836,748,1023,1235,769,3012,58,4133,4934,388,1433,1257,1468,883,841
9,Holsterhausen,683,565,659,747,440,2507,5902,3529,3495,2912,1119,949,1128,681,732
10,Rüttenscheid,773,587,649,747,489,184,5866,4092,4192,3274,1373,1394,1394,915,109
11,Huttrop,452,372,508,582,403,1186,2124,1791,2248,1959,840,736,816,586,547
12,Rellinghausen,77,83,99,135,105,204,300,432,599,519,198,183,253,180,345
13,Bergerhausen,281,256,329,446,285,707,1391,1412,1872,171,685,649,793,421,437
14,Stadtwald,236,237,291,368,271,511,878,1191,174,1442,615,653,707,351,476
15,Fulerum,91,76,109,125,77,165,333,384,579,455,196,237,259,149,101
16,Schönebeck,191,186,311,394,245,627,1063,1042,1741,1626,605,594,611,393,306
17,Bedingrade,231,219,293,447,323,877,1387,1224,2077,1802,793,708,832,477,362
18,Frintrop,213,184,248,328,239,648,1052,972,1399,1285,504,458,536,316,271
19,Dellwig,196,196,266,357,248,752,1071,1,1515,1319,526,451,480,302,241
20,Gerschede,213,190,255,295,207,574,984,922,138,1172,403,344,387,267,171
21,Borbeck-Mitte,327,295,421,512,364,1127,1843,1541,2184,1981,761,645,786,564,452
22,Bochold,556,505,715,799,526,1526,2375,2061,2539,2585,1018,822,923,571,425
23,Bergeborbeck,161,140,180,235,132,475,665,533,624,580,192,133,185,105,63
24,Altenessen-Nord,493,481,677,893,594,1556,2127,2216,2627,2317,905,723,725,478,372
25,Altenessen-Süd,852,838,1124,139,836,2728,4153,3306,374,3341,1341,963,1127,677,548
26,Bredeney,259,214,331,404,291,561,1053,1252,1838,14,652,748,732,398,391
27,Schuir,24,39,51,67,34,113,113,154,262,214,106,88,108,56,52
28,Haarzopf,184,170,204,284,185,413,516,766,1199,1007,378,497,492,301,329
29,Werden,219,200,264,394,253,641,1026,1057,1522,1339,662,675,691,403,449
30,Heidhausen,149,155,234,297,196,440,534,731,1134,960,449,398,351,234,255
31,Heisingen,287,293,426,535,324,675,987,1412,2142,2064,839,862,853,552,559
32,Kupferdreh,326,352,419,482,278,748,129,1495,2045,1559,657,568,595,403,343
33,Byfang,41,45,51,62,39,101,198,211,380,323,169,146,134,84,67
34,Steele,393,345,450,693,466,1237,1987,1868,2622,232,963,838,940,650,798
35,Kray,568,536,682,915,599,1925,2815,2286,3219,2536,857,759,870,558,464
36,Frillendorf,135,145,220,223,147,460,732,705,973,878,321,286,248,146,136
37,Schonnebeck,335,354,423,553,347,962,1387,1405,1805,1635,618,461,483,394,301
38,Stoppenberg,458,455,654,828,606,1462,2074,2062,2873,2381,863,669,745,514,386
39,Katernberg,753,665,983,1408,828,2128,2856,2927,3632,295,1074,889,952,649,506
40,Karnap,234,236,315,395,275,813,1069,967,1395,1133,345,299,326,209,210
41,Margarethenhöhe,147,176,269,320,181,566,786,801,1223,906,388,432,485,325,347
42,Fischlaken,82,107,160,209,112,253,342,510,776,656,309,279,295,152,118
43,Überruhr-Hinsel,159,165,220,300,203,509,756,823,1213,1242,523,508,561,434,357
44,Überruhr-Holthausen,166,194,269,350,222,465,769,921,1238,1207,585,523,528,363,342
45,Freisenbruch,495,503,621,768,499,1248,1945,1778,2353,2261,898,915,1037,642,484
46,Horst,282,305,400,447,318,864,1228,1229,1609,1512,625,600,589,319,233
47,Leithe,167,157,237,302,184,735,890,759,1065,922,350,365,402,283,188
48,Burgaltendorf,226,220,321,359,232,572,959,104,16,1487,689,622,616,323,243
49,Kettwig,386,352,556,675,488,939,1454,1909,3103,2662,1231,1234,1153,749,767
50,Vogelheim,181,182,228,315,168,473,750,712,914,816,280,183,253,179,176
