"Snr","Stadtteil","Zuzuege_Fortzuege","Umzuege_innerhalb_Stadtbezirk","Umzuege_in_andere_Stadbezirke"
"01","Stadtkern",-189,-1,-85
"02","Ostviertel",127,-11,-22
"03","Nordviertel",36,-98,-184
"04","Westviertel",8,95,83
"05","Südviertel",106,14,-113
"06","Südostviertel",1,-14,-86
"11","Huttrop",20,36,-13
"36","Frillendorf",10,-21,-112
"10","Rüttenscheid",92,-52,206
"12","Rellinghausen",-10,47,-3
"13","Bergerhausen",-31,36,56
"14","Stadtwald",-35,-31,35
"07","Altendorf",46,-86,-262
"08","Frohnhausen",71,81,-152
"09","Holsterhausen",71,-128,42
"15","Fulerum",-35,14,18
"28","Haarzopf",-22,50,26
"41","Margarethenhöhe",-43,69,89
"16","Schönebeck",-70,21,57
"17","Bedingrade",-47,50,14
"18","Frintrop",-29,16,-2
"19","Dellwig",-98,62,-25
"20","Gerschede",-13,-2,33
"21","Borbeck-Mitte",-62,31,-2
"22","Bochold",-76,-134,82
"23","Bergeborbeck",7,-44,-7
"24","Altenessen-Nord",-99,4,7
"25","Altenessen-Süd",,21,-174
"40","Karnap",-79,-20,55
"50","Vogelheim",8,-5,8
"37","Schonnebeck",-69,14,
"38","Stoppenberg",-71,-37,69
"39","Katernberg",-88,51,-60
"34","Steele",-7,61,125
"35","Kray",-116,-29,-52
"45","Freisenbruch",73,9,-28
"46","Horst",-26,-112,-51
"47","Leithe",-12,71,-24
"31","Heisingen",-59,-15,135
"32","Kupferdreh",-56,-3,51
"33","Byfang",-23,-4,17
"43","Überruhr-Hinsel",-57,30,26
"44","Überruhr-Holthausen",-22,-59,99
"48","Burgaltendorf",-48,51,99
"26","Bredeney",-60,-8,-58
"27","Schuir",-7,-19,-4
"29","Werden",-69,-6,8
"30","Heidhausen",-48,20,-21
"42","Fischlaken",20,-7,11
"49","Kettwig",-100,20,75
