"Snr","Stadtteil","männlich","Weiblich","ehelich","nicht ehelich"
"01","Stadtkern","13","17",".","."
"02","Ostviertel","39","41","48","32"
"03","Nordviertel","39","58","57","40"
"04","Westviertel","9","7",".","."
"05","Südviertel","51","48","72","27"
"06","Südostviertel","76","75","86","65"
"11","Huttrop","59","60","86","33"
"36","Frillendorf","25","18","27","16"
"10","Rüttenscheid","114","118","170","62"
"12","Rellinghausen","10","16","22","4"
"13","Bergerhausen","35","52","69","18"
"14","Stadtwald","47","33","68","12"
"07","Altendorf","114","125","177","62"
"08","Frohnhausen","143","147","197","93"
"09","Holsterhausen","125","133","189","69"
"15","Fulerum","15","18","23","10"
"28","Haarzopf","15","19","27","7"
"41","Margarethenhöhe","26","26","36","16"
"16","Schönebeck","37","30","55","12"
"17","Bedingrade","34","31","40","25"
"18","Frintrop","34","27","33","28"
"19","Dellwig","31","19","30","20"
"20","Gerschede","34","23","38","19"
"21","Borbeck-Mitte","42","35","59","18"
"22","Bochold","91","73","101","63"
"23","Bergeborbeck","20","23","20","23"
"24","Altenessen-Nord","100","82","129","53"
"25","Altenessen-Süd","141","155","206","90"
"40","Karnap","26","39","44","21"
"50","Vogelheim","22","28","33","17"
"37","Schonnebeck","48","49","70","27"
"38","Stoppenberg","70","63","90","43"
"39","Katernberg","102","112","153","61"
"34","Steele","73","54","92","35"
"35","Kray","95","80","103","72"
"45","Freisenbruch","70","59","92","37"
"46","Horst","32","45","59","18"
"47","Leithe","21","21","25","17"
"31","Heisingen","38","40","65","13"
"32","Kupferdreh","50","49","82","17"
"33","Byfang","8","11","14","5"
"43","Überruhr-Hinsel","19","20","28","11"
"44","Überruhr-Holthausen","19","22","29","12"
"48","Burgaltendorf","33","34","50","17"
"26","Bredeney","46","55","86","15"
"27","Schuir",".",".","6","3"
"29","Werden","32","34","52","14"
"30","Heidhausen","19","19","33","5"
"42","Fischlaken",".",".","20","4"
"49","Kettwig","58","62","94","26"
