SNR,Stadtteil,u3,3 bis 5,6 bis 9,10 bis 14,15 bis 17,18 bis 24,25 bis 34,35 bis 44,45 bis 54,55 bis 64,65 bis 69,70 bis 74,75 bis 79,80 bis 84,85+
1,Stadtkern,85,79,85,146,91,417,637,432,421,300,124,106,83,77,63
2,Ostviertel,205,189,209,281,182,743,116,942,933,665,233,254,242,166,155
3,Nordviertel,241,259,256,331,190,1041,1392,951,928,700,253,313,260,203,100
4,Westviertel,43,37,43,38,21,151,310,189,194,192,97,115,101,91,189
5,Südviertel,288,223,238,296,188,1036,2385,1626,1522,1113,460,507,359,352,340
6,Südostviertel,326,358,378,438,280,114,2076,1686,1576,1186,478,536,321,263,183
7,Altendorf,616,623,784,936,599,2164,3099,2868,2928,2188,870,1018,702,531,363
8,Frohnhausen,797,785,953,1163,807,2841,4879,4633,4694,3527,1496,1759,1186,987,701
9,Holsterhausen,603,536,626,771,448,2196,5098,3712,3465,2676,1096,1358,943,833,674
10,Rüttenscheid,717,540,633,855,538,1827,5138,4537,3981,3196,1532,159,1119,1008,967
11,Huttrop,353,352,443,581,386,1176,1803,1948,2259,1891,830,946,732,565,538
12,Rellinghausen,59,69,103,144,89,189,317,465,567,475,185,244,177,217,311
13,Bergerhausen,234,235,317,455,306,696,1233,1598,1841,1615,706,925,559,480,405
14,Stadtwald,209,221,300,443,242,540,904,1423,1663,1366,726,755,433,407,426
15,Fulerum,65,69,102,146,74,176,266,454,561,416,263,286,200,124,72
16,Schönebeck,188,206,318,423,282,666,941,1351,1751,1472,655,711,475,347,262
17,Bedingrade,198,234,356,560,345,900,1175,158,2082,1732,797,1013,637,444,262
18,Frintrop,172,166,238,373,251,662,896,1139,142,114,494,634,435,330,220
19,Dellwig,183,169,280,412,319,749,945,1222,1585,1241,528,582,419,262,190
20,Gerschede,197,164,237,338,257,623,925,1087,1343,1043,406,474,378,227,131
21,Borbeck-Mitte,283,268,373,570,385,1079,1556,1745,2242,1757,693,905,706,516,342
22,Bochold,462,510,599,866,582,1663,2114,2253,2803,2394,938,1087,777,583,318
23,Bergeborbeck,140,135,184,224,170,480,527,530,679,506,162,222,171,100,56
24,Altenessen-Nord,434,503,700,959,573,148,1988,234,2511,2147,786,894,658,469,314
25,Altenessen-Süd,750,796,1014,1253,784,2489,3576,3375,3608,3252,1156,1337,957,699,490
26,Bredeney,235,230,301,444,322,548,908,1553,1689,145,812,832,498,411,364
27,Schuir,34,32,40,75,51,88,103,164,256,224,96,127,76,63,65
28,Haarzopf,115,135,196,284,180,360,458,929,1081,912,541,545,370,297,277
29,Werden,189,197,317,382,204,665,893,1352,1474,136,732,749,476,402,416
30,Heidhausen,118,150,215,289,199,400,493,841,1026,966,427,411,277,240,236
31,Heisingen,249,301,414,566,343,718,983,1651,2132,1871,917,939,682,580,446
32,Kupferdreh,260,271,377,470,324,832,1149,1703,1897,1466,620,671,493,323,343
33,Byfang,44,41,48,84,46,142,153,298,384,315,160,148,102,72,58
34,Steele,338,353,513,733,482,1304,1822,2189,2703,2122,907,1025,748,640,690
35,Kray,437,493,655,999,638,2066,2425,2673,316,2162,882,1064,794,600,393
36,Frillendorf,133,120,167,220,171,485,680,805,1009,794,323,330,220,157,105
37,Schonnebeck,264,265,431,563,421,935,1223,1581,177,1495,508,573,494,360,261
38,Stoppenberg,450,456,641,987,605,1431,1875,2429,2779,2137,790,914,717,490,277
39,Katernberg,640,704,1021,1382,877,2167,2564,3197,3538,2579,1041,1123,937,662,420
40,Karnap,204,211,303,466,259,725,832,1143,1341,902,353,417,283,235,190
41,Margarethenhöhe,142,178,231,336,219,534,755,963,1129,820,445,573,409,317,323
42,Fischlaken,119,121,156,166,114,280,348,624,715,631,304,347,197,157,108
43,Überruhr-Hinsel,148,169,195,334,240,561,711,983,1319,1159,544,650,505,347,261
44,Überruhr-Holthausen,183,209,266,368,234,542,746,990,1272,1256,575,574,469,355,275
45,Freisenbruch,402,468,588,826,509,1367,1713,2008,2462,2072,975,1211,864,524,422
46,Horst,229,211,352,517,318,837,1018,1281,1664,1468,680,697,412,286,139
47,Leithe,166,173,219,326,253,699,747,828,1066,807,388,511,400,253,127
48,Burgaltendorf,198,214,301,417,272,656,917,1297,1644,1456,685,698,447,287,226
49,Kettwig,368,384,531,801,448,995,143,2402,2822,2556,129,131,884,723,596
50,Vogelheim,167,170,255,327,209,565,656,798,938,769,231,304,253,184,158
