"Snr","Stadtteil","nur_deutsch","doppelte","nur_auslaendische"
"01","Stadtkern",1572,459,1115
"02","Ostviertel",4142,783,1634
"03","Nordviertel",4427,1047,1944
"04","Westviertel",1187,192,432
"05","Südviertel",8486,913,1534
"06","Südostviertel",7677,116,2388
"11","Huttrop",11995,116,1648
"36","Frillendorf",4825,372,522
"10","Rüttenscheid",24654,1313,2211
"12","Rellinghausen",3286,106,219
"13","Bergerhausen",10697,394,514
"14","Stadtwald",9516,250,292
"07","Altendorf",13632,2233,4424
"08","Frohnhausen",25138,2207,3863
"09","Holsterhausen",20093,179,3152
"15","Fulerum",3082,91,101
"28","Haarzopf",6359,149,172
"41","Margarethenhöhe",6636,385,353
"16","Schönebeck",9363,353,332
"17","Bedingrade",11349,515,451
"18","Frintrop",7899,356,315
"19","Dellwig",796,651,475
"20","Gerschede",6715,721,394
"21","Borbeck-Mitte",11543,934,943
"22","Bochold",13597,2228,2124
"23","Bergeborbeck",3284,407,595
"24","Altenessen-Nord",12196,2006,2554
"25","Altenessen-Süd",17742,3553,4241
"40","Karnap",6173,754,937
"50","Vogelheim",4257,793,934
"37","Schonnebeck",8991,983,117
"38","Stoppenberg",12867,2309,1802
"39","Katernberg",16251,279,3811
"34","Steele",13798,1285,1486
"35","Kray",15431,1346,2664
"45","Freisenbruch",12927,2213,1271
"46","Horst",7796,1592,721
"47","Leithe",5961,439,563
"31","Heisingen",12116,320,356
"32","Kupferdreh",10094,485,620
"33","Byfang",2018,36,41
"43","Überruhr-Hinsel",743,374,322
"44","Überruhr-Holthausen",6851,918,545
"48","Burgaltendorf",9173,226,316
"26","Bredeney",9695,405,497
"27","Schuir",1378,55,61
"29","Werden",8893,295,620
"30","Heidhausen",5886,160,242
"42","Fischlaken",4166,103,118
"49","Kettwig",16249,511,780
