"Snr","Stadtteil","unter 55","55 bis 64","65 bis 74","75 bis 79","80 bis 84","85 und mehr","Durchschnittsalter"
"01","Stadtkern",4,,6,7,,4,71.6
"02","Ostviertel",17,9,29,20,16,37,74.5
"03","Nordviertel",10,,17,15,,12,71.5
"04","Westviertel",8,4,16,13,24,63,81.6
"05","Südviertel",9,12,19,15,14,45,76.9
"06","Südostviertel",9,13,20,12,17,14,72.1
"11","Huttrop",7,19,34,25,28,65,77.5
"36","Frillendorf",14,11,18,9,7,11,68.1
"10","Rüttenscheid",18,31,56,51,58,167,79.6
"12","Rellinghausen",,,6,8,14,35,83.3
"13","Bergerhausen",5,15,33,25,18,69,79.7
"14","Stadtwald",6,5,25,21,25,78,81.5
"07","Altendorf",23,27,39,44,40,52,73.7
"08","Frohnhausen",36,43,83,66,63,122,75.5
"09","Holsterhausen",23,30,43,48,52,107,77
"15","Fulerum",,4,6,4,,7,73.7
"28","Haarzopf",-,7,15,11,21,39,81.5
"41","Margarethenhöhe",,7,14,22,,58,81.4
"16","Schönebeck",6,12,17,13,18,35,77.1
"17","Bedingrade",12,22,26,30,19,48,75.5
"18","Frintrop",3,10,19,26,20,39,79.5
"19","Dellwig",17,11,24,24,18,37,75
"20","Gerschede",,6,12,18,,17,73.9
"21","Borbeck-Mitte",13,20,45,37,31,46,75.4
"22","Bochold",17,21,43,54,35,43,74.5
"23","Bergeborbeck",,3,8,16,,4,74.5
"24","Altenessen-Nord",16,23,42,42,26,44,74.9
"25","Altenessen-Süd",36,38,69,67,58,89,74.3
"40","Karnap",7,12,20,14,15,24,74.4
"50","Vogelheim",5,14,18,28,22,37,77.7
"37","Schonnebeck",7,15,20,34,23,40,76.7
"38","Stoppenberg",18,20,51,41,37,50,74.6
"39","Katernberg",18,23,67,51,42,53,74.9
"34","Steele",26,23,46,44,52,150,79.1
"35","Kray",29,24,40,49,23,45,71.9
"45","Freisenbruch",5,21,50,60,34,64,77.9
"46","Horst",5,10,26,23,12,13,73.2
"47","Leithe",7,9,20,8,11,18,73.1
"31","Heisingen",4,9,20,24,22,86,81.1
"32","Kupferdreh",6,11,19,15,27,48,79.3
"33","Byfang",,,5,,,7,72.8
"43","Überruhr-Hinsel",7,9,23,23,19,39,77.8
"44","Überruhr-Holthausen",5,7,22,23,22,62,80.8
"48","Burgaltendorf",,,18,,,23,76.3
"26","Bredeney",5,8,25,15,17,40,78.1
"27","Schuir",-,-,,,4,6,85.2
"29","Werden",4,7,30,18,20,51,79.4
"30","Heidhausen",8,7,18,12,14,57,80.3
"42","Fischlaken",3,3,,,8,15,77.6
"49","Kettwig",6,21,31,40,46,110,80.6
