"Snr","Stadtteil","unter 55","55 bis 64","65 bis 74","75 bis 79","80 bis 84","85 und mehr","Durchschnittsalter"
"01","Stadtkern",4,,4,3,,6,70.9
"02","Ostviertel",15,7,19,15,27,40,76.6
"03","Nordviertel",8,8,18,13,14,6,71.9
"04","Westviertel",5,8,8,13,20,68,82.3
"05","Südviertel",9,14,19,18,21,42,76.3
"06","Südostviertel",9,8,29,14,15,14,72.9
"11","Huttrop",17,24,39,34,25,72,75.7
"36","Frillendorf",8,,15,11,,9,70.8
"10","Rüttenscheid",21,35,70,53,68,127,78.3
"12","Rellinghausen",,,12,8,6,28,79.2
"13","Bergerhausen",5,9,30,20,24,62,79.7
"14","Stadtwald",,,21,19,20,66,81.1
"07","Altendorf",25,27,65,50,30,59,73.9
"08","Frohnhausen",37,33,84,75,42,134,75.7
"09","Holsterhausen",23,11,50,39,45,85,77.4
"15","Fulerum",,3,10,,,,70.8
"28","Haarzopf",,4,6,,,,82.7
"41","Margarethenhöhe",6,13,15,21,19,43,78
"16","Schönebeck",9,15,25,21,16,34,75.7
"17","Bedingrade",13,12,34,26,19,42,76.2
"18","Frintrop",5,10,28,25,23,39,77.8
"19","Dellwig",7,17,20,22,12,34,75.1
"20","Gerschede",6,10,14,25,10,7,72.7
"21","Borbeck-Mitte",8,17,44,38,32,43,76
"22","Bochold",21,21,63,48,43,44,74.7
"23","Bergeborbeck",5,3,7,10,5,7,72.3
"24","Altenessen-Nord",19,17,47,36,25,45,73.7
"25","Altenessen-Süd",30,31,76,59,33,71,73.8
"40","Karnap",9,14,26,18,15,25,74.2
"50","Vogelheim",12,9,21,22,17,39,75.6
"37","Schonnebeck",11,12,22,31,31,48,77.2
"38","Stoppenberg",14,20,42,38,32,34,74.5
"39","Katernberg",31,38,64,45,41,60,72.6
"34","Steele",17,19,57,48,43,143,80
"35","Kray",21,21,49,41,33,55,74.4
"45","Freisenbruch",13,10,61,24,31,75,77.9
"46","Horst",11,17,29,11,10,20,71.8
"47","Leithe",9,4,22,22,11,8,73.3
"31","Heisingen",6,9,33,32,28,71,80.6
"32","Kupferdreh",9,8,20,27,21,62,79.5
"33","Byfang",,,3,5,5,8,80.4
"43","Überruhr-Hinsel",4,10,20,16,13,61,80.6
"44","Überruhr-Holthausen",8,17,30,27,22,40,76.4
"48","Burgaltendorf",,,19,14,12,25,78.6
"26","Bredeney",6,12,25,10,18,35,77.2
"27","Schuir",,,3,3,5,6,114.2
"29","Werden",10,12,25,24,21,47,77.5
"30","Heidhausen",7,7,19,8,19,42,78.6
"42","Fischlaken",,,8,14,5,13,77.9
"49","Kettwig",13,12,40,46,42,120,80.3
