SNR,Stadtteil,u3,3 bis 5,6 bis 9,10 bis 14,15 bis 17,18 bis 24,25 bis 34,35 bis 44,45 bis 54,55 bis 64,65 bis 69,70 bis 74,75 bis 79,80 bis 84,85+
1,Stadtkern,82,78,119,123,75,501,932,463,417,296,120,113,114,69,113
2,Ostviertel,195,188,224,276,185,743,1322,971,921,712,227,217,221,161,155
3,Nordviertel,258,242,321,339,210,1291,1643,995,952,771,228,259,269,174,142
4,Westviertel,64,42,59,59,32,217,443,322,283,223,94,120,125,103,167
5,Südviertel,328,245,277,304,177,1047,2824,1663,1442,1211,440,423,413,283,335
6,Südostviertel,402,312,409,430,275,1418,2501,1602,1607,1201,454,453,418,211,189
7,Altendorf,639,617,848,998,611,2416,3508,2844,3154,2416,817,828,829,495,419
8,Frohnhausen,784,739,1019,1219,734,2985,5564,4049,4922,3777,1378,1429,1449,854,842
9,Holsterhausen,644,512,623,728,437,2373,5718,3469,3483,2859,1052,1056,1158,642,709
10,Rüttenscheid,740,540,643,767,508,18,5838,4075,423,3223,1344,1504,1333,891,11
11,Huttrop,406,344,490,575,383,1164,2066,1808,2267,1996,766,827,842,544,508
12,Rellinghausen,82,86,95,149,97,208,311,432,601,507,191,203,237,180,327
13,Bergerhausen,279,236,347,436,281,726,1367,1398,1895,1688,658,724,746,429,426
14,Stadtwald,225,242,299,388,261,502,943,1217,1718,1435,576,736,646,350,460
15,Fulerum,71,80,94,130,76,165,338,375,597,438,193,267,259,137,93
16,Schönebeck,165,197,311,395,262,612,1025,1062,1784,159,577,665,584,381,319
17,Bedingrade,220,196,323,449,343,874,1337,1269,2125,177,782,748,852,455,349
18,Frintrop,189,171,238,340,260,653,1006,961,1434,1271,461,513,542,300,256
19,Dellwig,183,213,262,360,249,746,103,1024,1566,1252,531,510,476,286,224
20,Gerschede,193,185,253,322,194,603,978,909,1366,1149,393,395,370,256,164
21,Borbeck-Mitte,296,296,377,531,368,112,1796,1559,2185,1961,711,724,818,508,460
22,Bochold,484,506,662,751,526,1575,2303,2035,2609,2534,993,902,922,568,389
23,Bergeborbeck,159,138,182,217,142,472,640,505,635,550,184,154,180,100,52
24,Altenessen-Nord,505,463,696,921,616,1495,2139,2239,26,2302,833,809,703,468,373
25,Altenessen-Süd,785,774,1044,1288,770,2527,3935,3148,372,3297,1253,1109,1069,660,544
26,Bredeney,244,240,315,414,300,550,1026,1298,1825,1392,652,811,703,365,386
27,Schuir,32,35,57,61,40,98,131,152,272,209,111,95,101,55,50
28,Haarzopf,148,165,204,279,206,380,494,742,1174,992,358,549,487,291,316
29,Werden,202,187,268,404,242,626,962,1115,1543,1307,640,746,656,373,463
30,Heidhausen,134,147,219,310,165,404,489,744,1142,936,435,404,371,215,277
31,Heisingen,291,309,421,542,328,671,1008,1438,2163,2033,796,946,838,551,538
32,Kupferdreh,328,314,416,492,299,769,1283,1478,2114,1543,591,630,570,367,348
33,Byfang,38,37,57,57,47,107,179,209,386,322,159,150,133,74,71
34,Steele,383,330,460,704,473,1268,1977,1866,2681,229,923,932,916,638,780
35,Kray,523,491,667,867,582,1961,2679,2308,3271,2478,810,835,861,551,451
36,Frillendorf,135,140,214,215,139,497,704,689,995,882,292,307,250,153,126
37,Schonnebeck,305,297,388,546,353,964,1308,1377,1842,1631,586,502,493,382,302
38,Stoppenberg,424,449,638,841,595,1418,2048,2074,2896,232,807,743,780,463,379
39,Katernberg,681,689,962,1353,861,213,2791,2936,3642,2891,1045,922,981,634,497
40,Karnap,172,205,297,389,268,722,901,965,1403,1049,326,351,326,183,217
41,Margarethenhöhe,141,162,270,305,189,597,715,825,1219,909,387,489,477,316,352
42,Fischlaken,77,120,167,204,99,245,341,527,771,644,293,318,276,145,116
43,Überruhr-Hinsel,148,160,245,276,193,512,733,808,1265,1265,476,552,575,406,323
44,Überruhr-Holthausen,159,202,289,328,212,489,759,892,1283,1237,554,554,513,370,318
45,Freisenbruch,453,441,627,813,487,1304,188,1778,2409,2226,849,1041,102,603,468
46,Horst,217,242,318,444,291,686,1033,1079,1588,1492,595,660,553,298,208
47,Leithe,131,157,262,299,208,682,826,767,1072,899,325,403,424,270,170
48,Burgaltendorf,206,222,302,375,240,559,941,107,1616,148,641,691,573,325,238
49,Kettwig,342,344,560,707,492,934,1411,1915,311,262,1203,1272,1153,702,728
50,Vogelheim,177,182,224,328,174,519,757,699,935,807,266,213,271,184,170
