03.07.2017,04.07.2017,05.07.2017,06.07.2017,07.07.2017
Alfredstraße,Alfredstraße,Ackerstraße,Altendorfer Straße,Ahrfeldstraße
Alte Hauptstraße,Arendahls Wiese,Alfredstraße,Altenessener Straße,Aktienstraße
Altenessener Straße,Baderweg,Alte Hauptstraße,Am Uhlenkrug,Bergerhauser Straße
Arenbergstraße,Bochumer Landstraße,Am Uhlenkrug,Am Zehnthof,Bergheimer Straße
Berthold-Beitz-Boulevard,Dahlhauser Straße,Barkovenallee,Auf der Reihe,Bernestraße
Bismarckstraße,Dellwiger Straße,Berthold-Beitz-Boulevard,Bismarckstraße,Bismarckstraße
Bochumer Landstraße,Donnerstraße,Bonifaciusstraße,Bochumer Landstraße,Borbecker  Straße
Bottroper Straße,Essener Straße,Bottroper Straße,Bredeneyer Straße,Bottroper Straße
Boyer Straße,Fährenkotten,Brückstraße,Breukelmannhof,Brederbachstraße
Charlottenstraße,Frintroper Straße,Burggrafenstraße,Byfanger Straße,Deilbachtal
Dahlhauser Straße,Fulerumer Straße,Byfanger Straße,Dahlhauser Straße,Dilldorfer Straße
Dellwiger Straße,Gelsenkirchener Straße,Deilbachtal,Deipenbecktal,Esmarchstraße
Flözstraße,Gladbecker Straße,Deipenbecktal,Dilldorfer Straße,Essener Straße
Frankenstraße,Grabenstraße,Dellmannsweg,Distelbeckhof,Fischlaker Straße
Franziskastraße,Graf - Zeppelin - Straße,Düppenberg,Frankenstraße,Friedrichstraße
Friedrichstraße,Hatzper Straße,Elisabethstraße,Franziskastraße,Grabenstraße
Fulerumer Straße,Haus - Horl - Strasse,Ernestinenstraße,Friedrich-Ebert-Straße,Grillostraße
Graf - Zeppelin - Straße,Hausackerstraße,Flurstraße,Friedrichstraße,Hallostraße
Hafenstraße,Heisinger Straße,Frankenstraße,Frohnhauser Straße,Hauptstraße
Hatzper Straße,Henglerstraße,Frillendorfer Straße,Hanielstraße,Heckstraße
Haus - Horl - Strasse,Hespertal,Fürstäbtissinstraße,Hans - Böckler - Straße,Heidhauser Straße
Heisinger Straße,Hohenzollernstraße,Germaniastraße,Heisinger Straße,Heiligenhauser Straße
Henglerstraße,Holsterhauser Straße,Gladbecker Straße,Hellweg,Heißener Straße
Horster Straße,Horster Straße,Graf - Zeppelin - Straße,Henglerstraße,Helbingstraße
Hülsenbruchstraße,Hövelstraße,Grillostraße,Hindenburgstraße,Helenenstraße
Johanniskirchstraße,Hülsmannstraße,Hafenstraße,Katernberger Straße,Henglerstraße
Karnaper Straße,Huyssenallee,Heidhauser Straße,Kraspothstraße,Herbrüggenstraße
Klaumerbruch,Im Natt,Heisinger Straße,Langenberger Straße,Hindenburgstraße
Kraienbruch,Karolingerstraße,Hubertstraße,Lerchenstraße,Holsterhauser Straße
Kruppstraße,Keplerstraße,Hülsenbruchstraße,Marie - Juchacz - Straße,Huestraße
Ladenspelderstraße,Krablerstraße,Joachimstraße,Märkische Straße,Hülsmannstraße
Langenberger Straße,Kronprinzenstraße,Katzenbruchstraße,Münchener Straße,Hundebrinkstraße
Laupendahler Landstraße,Kruppstraße,Langenberger Straße,Neue Heimat,Kaninenberghöhe
Lerchenstraße,Kurfürstenstraße,Laupendahler Landstraße,Nierenhofer Straße,Karolingerstraße
Lohwiese,Laupendahler Landstraße,Leimgardtsfeld,Oberhauser Straße,Kaulbachstraße
Marie - Juchacz - Straße,Leimgardtsfeld,Lerchenstraße,Rodenseelstraße,Kettelerstraße
Mövenstraße,Lelei,Meisenburgstraße,Ruhrau,Kruppstraße
Mühlenweg,Levinstraße,Mühlenweg,Rüttenscheider Straße,Langenberger Straße
Müller - Breslau - Straße,Meisenburgstraße,Nierenhofer Straße,Sachsenring,Maasstraße
Philippstraße,Mövenstraße,Petzelsberg,Schalker Straße,Müller - Breslau - Straße
Richard - Wagner - Straße,Norbertstraße,Reckhammerweg,Schederhofstraße,Nierenhofer Straße
Ruhrtalstraße,Ostpreußenstraße,Renteilichtung,Schonnebeckhöfe,Nöckersberg
Rüttenscheider Straße,Prosperstraße,Ruhrallee,Schönscheidtstraße,Norbertstraße
Sachsenring,Richard - Wagner - Straße,Ruhrtalstraße,Schultenweg,Pörtingsiepen
Sommerburgstraße,Rubensstraße,Schaphausstraße,Schwermannstraße,Rellinghauser Straße
Stauderstraße,Ruhrallee,Schederhofstraße,Stauderstraße,Rheinstraße
Stinnesstraße,Ruhrtalstraße,Schuirweg,Steeler Bergstraße,Richard - Wagner - Straße
Tommesweg,Sachsenring,Schwermannstraße,Theobaldstraße,Ruhrallee
Überruhrstraße,Schonnefeldstraße,Überruhrstraße,Überruhrstraße,Ruhrtalstraße
Ückendorfer Straße,Schuirweg,Velberter Straße,Ückendorfer Straße,Rüttenscheider Straße
Ursulastraße,Schützenbahn,Weidkamp,Ursulastraße,Schloßstraße
Vogelheimer Straße,Stemmering,Wittenbergstraße,Westfalenstraße,Schmachtenbergstraße
Westerwaldstraße,Töpferstraße,Wuppertaler Straße,Wittenbergstraße,Schölerpad
Westfalenstraße,Unterstraße,,Wuppertaler Straße,Schönebecker Straße
Wittenbergstraße,Vogelheimer Straße,,Zollvereinstraße,Schützenbahn
Zeunerstraße,Windmühlenstraße,,,Seumannstraße
Zollvereinstraße,Zeunerstraße,,,Sommerburgstraße
Zweigstraße,,,,Stoppenberger Straße
,,,,Viehauser Berg
,,,,Virchowstraße
