"Snr","Stadtteil","unter 55","55 bis 64","65 bis 74","75 bis 79","80 bis 84","85 und mehr","Durchschnittsalter"
"01","Stadtkern",".",".",4,15,"8","14","76,8"
"02","Ostviertel","11","12",5,19,"16","20","73,8"
"03","Nordviertel","7","9",19,15,"5","19","72,5"
"04","Westviertel",".",".",14,15,"8","52","83,8"
"05","Südviertel","11","12",19,15,"12","31","75,7"
"06","Südostviertel","14","20",19,18,"12","23","71,3"
"11","Huttrop","12","19",39,35,"18","62","76,7"
"36","Frillendorf","6","7",9,12,"7","14","71,9"
"10","Rüttenscheid","24","31",57,52,"35","185","79,6"
"12","Rellinghausen",".",".",7,9,".","45","84,7"
"13","Bergerhausen","8","15",20,26,"20","60","78,9"
"14","Stadtwald",".",".",26,21,".","78","81,8"
"07","Altendorf","31","34",50,50,"32","62","73,3"
"08","Frohnhausen","39","45",68,70,"57","121","75,5"
"09","Holsterhausen","18","24",28,55,"32","78","76,9"
"15","Fulerum","3","5",6,7,"4","11","76,0"
"28","Haarzopf","3","8",17,9,"14","54","81,8"
"41","Margarethenhöhe","5","8",14,24,"11","58","80,4"
"16","Schönebeck","6","7",24,25,"23","62","80,2"
"17","Bedingrade","8","17",36,34,"26","64","78,0"
"18","Frintrop",".",".",18,28,"15","45","80,4"
"19","Dellwig","11","7",26,27,"14","31","75,7"
"20","Gerschede",".",".",14,22,"12",".","78,5"
"21","Borbeck-Mitte","10","14",34,42,"20","77","78,4"
"22","Bochold","17","35",38,46,"32","64","74,9"
"23","Bergeborbeck",".","9",6,4,"3",".","68,4"
"24","Altenessen-Nord","12","24",45,37,"23","64","75,7"
"25","Altenessen-Süd","25","54",64,69,"48","94","75,3"
"40","Karnap","13","12",15,14,"9","29","74,0"
"50","Vogelheim","5","15",16,28,"11","52","77,8"
"37","Schonnebeck","18","19",23,33,"24","54","75,6"
"38","Stoppenberg","17","30",41,45,"26","53","74,7"
"39","Katernberg","26","30",44,52,"41","84","75,7"
"34","Steele","14","18",45,63,"42","154","81,0"
"35","Kray","27","24",37,32,"34","57","74,4"
"45","Freisenbruch","13","19",46,52,"32","66","76,8"
"46","Horst","7","13",18,21,"11","14","73,3"
"47","Leithe","7","8",6,19,"7","15","74,8"
"31","Heisingen","6","11",22,24,"21","81","80,9"
"32","Kupferdreh","7","11",21,24,"19","63","79,5"
"33","Byfang",".",".",3,7,".","10","78,9"
"43","Überruhr-Hinsel","5","10",10,28,"18","38","79,1"
"44","Überruhr-Holthausen","13","16",22,23,"15","48","76,1"
"48","Burgaltendorf",".",".",14,16,".","31","78,1"
"26","Bredeney","4","7",18,15,"14","37","79,3"
"27","Schuir",".",".",5,4,".","7","75,8"
"29","Werden","6","6",18,23,"17","72","81,5"
"30","Heidhausen",".",".",15,21,".","66","82,1"
"42","Fischlaken","5","5",6,8,"7","16","75,4"
"49","Kettwig","9","17",37,48,"36","123","80,5"
