"Snr","Stadtteil","männlich","Weiblich","ehelich","nicht ehelich"
"01","Stadtkern",13,18,"25","6"
"02","Ostviertel",37,30,"35","32"
"03","Nordviertel",49,44,"60","33"
"04","Westviertel",3,13,"10","6"
"05","Südviertel",56,51,"71","36"
"06","Südostviertel",66,56,"81","41"
"11","Huttrop",68,59,"86","41"
"36","Frillendorf",27,17,"32","12"
"10","Rüttenscheid",143,122,"200","65"
"12","Rellinghausen",6,15,".","."
"13","Bergerhausen",40,26,".","."
"14","Stadtwald",44,35,"64","15"
"07","Altendorf",106,97,"118","85"
"08","Frohnhausen",159,138,"191","106"
"09","Holsterhausen",129,133,"178","84"
"15","Fulerum",5,9,"14",""
"28","Haarzopf",16,19,"32","3"
"41","Margarethenhöhe",20,14,"28","6"
"16","Schönebeck",21,30,"39","12"
"17","Bedingrade",30,31,"43","18"
"18","Frintrop",26,25,"31","20"
"19","Dellwig",26,33,"32","27"
"20","Gerschede",30,31,"49","12"
"21","Borbeck-Mitte",42,45,"67","20"
"22","Bochold",74,95,"108","61"
"23","Bergeborbeck",35,32,"31","36"
"24","Altenessen-Nord",82,72,"110","44"
"25","Altenessen-Süd",118,103,"135","86"
"40","Karnap",35,40,"49","26"
"50","Vogelheim",32,20,"30","22"
"37","Schonnebeck",45,39,"61","23"
"38","Stoppenberg",68,59,"91","36"
"39","Katernberg",90,111,"133","68"
"34","Steele",45,61,"70","36"
"35","Kray",74,81,"96","59"
"45","Freisenbruch",88,58,"107","39"
"46","Horst",36,35,"53","18"
"47","Leithe",34,31,"40","25"
"31","Heisingen",51,24,"64","11"
"32","Kupferdreh",50,36,"64","22"
"33","Byfang",9,10,"16","3"
"43","Überruhr-Hinsel",26,25,"37","14"
"44","Überruhr-Holthausen",33,25,"43","15"
"48","Burgaltendorf",36,27,"56","7"
"26","Bredeney",48,47,"85","10"
"27","Schuir",6,3,".","."
"29","Werden",31,31,"48","14"
"30","Heidhausen",20,16,"29","7"
"42","Fischlaken",17,17,".","."
"49","Kettwig",51,52,"77","26"
