"Snr","Stadtteil","Zuzuege_Fortzuege","Umzuege_innerhalb_Stadtbezirk","Umzuege_in_andere_Stadbezirke"
"01","Stadtkern",199,-58,-82
"02","Ostviertel",255,-34,-75
"03","Nordviertel",287,-46,-219
"04","Westviertel",180,42,124
"05","Südviertel",163,-19,-34
"06","Südostviertel",436,-55,-263
"11","Huttrop",138,127,-81
"36","Frillendorf",48,43,-61
"10","Rüttenscheid",376,-108,-77
"12","Rellinghausen",41,20,-7
"13","Bergerhausen",80,7,100
"14","Stadtwald",6,81,24
"07","Altendorf",443,38,-26
"08","Frohnhausen",250,52,2
"09","Holsterhausen",348,-180,-10
"15","Fulerum",-16,28,-4
"28","Haarzopf",99,56,74
"41","Margarethenhöhe",10,6,27
"16","Schönebeck",-19,14,32
"17","Bedingrade",-17,54,89
"18","Frintrop",71,-25,-40
"19","Dellwig",-48,-23,38
"20","Gerschede",-4,91,-14
"21","Borbeck-Mitte",-29,37,23
"22","Bochold",153,-76,73
"23","Bergeborbeck",67,-72,-20
"24","Altenessen-Nord",224,27,44
"25","Altenessen-Süd",493,-77,-84
"40","Karnap",9,26,10
"50","Vogelheim",34,24,14
"37","Schonnebeck",60,-22,42
"38","Stoppenberg",92,-9,-54
"39","Katernberg",60,31,16
"34","Steele",-14,-5,103
"35","Kray",291,30,-52
"45","Freisenbruch",119,40,57
"46","Horst",92,-46,-74
"47","Leithe",103,-19,-25
"31","Heisingen",70,-16,121
"32","Kupferdreh",225,26,80
"33","Byfang",-7,3,17
"43","Überruhr-Hinsel",-35,-34,35
"44","Überruhr-Holthausen",-62,43,72
"48","Burgaltendorf",-42,-22,42
"26","Bredeney",58,-52,-57
"27","Schuir",4,-2,25
"29","Werden",71,-15,61
"30","Heidhausen",-7,27,-32
"42","Fischlaken",-12,-4,5
"49","Kettwig",27,46,41
