"Snr","Stadtteil","Zuzuege_Fortzuege","Umzuege_innerhalb_Stadtbezirk","Umzuege_in_andere_Stadbezirke"
"01","Stadtkern",-6,-15,-56
"02","Ostviertel",45,-64,-51
"03","Nordviertel",148,8,-277
"04","Westviertel",-9,-5,1
"05","Südviertel",132,42,-119
"06","Südostviertel",85,-39,-66
"11","Huttrop",143,66,-49
"36","Frillendorf",-34,7,-40
"10","Rüttenscheid",169,-22,121
"12","Rellinghausen",21,-4,13
"13","Bergerhausen",-53,2,25
"14","Stadtwald",-75,24,59
"07","Altendorf",61,10,88
"08","Frohnhausen",167,39,-144
"09","Holsterhausen",292,-77,2
"15","Fulerum",-42,-29,4
"28","Haarzopf",,47,91
"41","Margarethenhöhe",-38,10,48
"16","Schönebeck",-2,-29,9
"17","Bedingrade",-38,52,33
"18","Frintrop",8,53,41
"19","Dellwig",-1,7,-16
"20","Gerschede",-61,22,17
"21","Borbeck-Mitte",-47,7,156
"22","Bochold",51,-74,33
"23","Bergeborbeck",-7,-38,23
"24","Altenessen-Nord",-22,-18,11
"25","Altenessen-Süd",70,8,-117
"40","Karnap",-91,8,3
"50","Vogelheim",-28,2,19
"37","Schonnebeck",66,-23,-
"38","Stoppenberg",9,-6,64
"39","Katernberg",-107,29,-52
"34","Steele",12,40,2
"35","Kray",-2,-30,-96
"45","Freisenbruch",-10,17,-119
"46","Horst",29,-44,-2
"47","Leithe",92,17,-81
"31","Heisingen",-41,19,180
"32","Kupferdreh",-69,-22,56
"33","Byfang",-10,6,-13
"43","Überruhr-Hinsel",78,12,37
"44","Überruhr-Holthausen",-2,-21,44
"48","Burgaltendorf",60,6,11
"26","Bredeney",6,-45,31
"27","Schuir",-27,-2,7
"29","Werden",102,-45,24
"30","Heidhausen",53,55,-6
"42","Fischlaken",-17,19,-6
"49","Kettwig",-3,18,57
