Theater_Philharmonie;Vorstellungen;BesucherInnen
Aalto-Theater/Foyer;266;145.065
Philharmonie;151;104.921
Grillo Theater;164;44.336
Cafe Central im Grillo-Theater;48;2.850
Heldenbar im Grillo-Theater;110;400
Casa;64;7.185
Box;55;2.892
