"Snr","Stadtteil","nur_deutsch","doppelte","nur_auslaendische"
"01","Stadtkern",1637,463,1221
"02","Ostviertel",4038,790,1733
"03","Nordviertel",4399,1111,2089
"04","Westviertel",1172,187,433
"05","Südviertel",8347,960,1601
"06","Südostviertel",7612,1246,2555
"11","Huttrop",11824,1198,1698
"36","Frillendorf",4793,414,529
"10","Rüttenscheid",24426,1369,2309
"12","Rellinghausen",3237,113,241
"13","Bergerhausen",10685,419,525
"14","Stadtwald",9539,250,291
"07","Altendorf",13428,2349,4607
"08","Frohnhausen",24826,2316,3885
"09","Holsterhausen",19939,1886,3232
"15","Fulerum",3102,105,108
"28","Haarzopf",6344,148,201
"41","Margarethenhöhe",6542,387,375
"16","Schönebeck",9293,378,364
"17","Bedingrade",11203,524,463
"18","Frintrop",776,374,335
"19","Dellwig",7922,650,471
"20","Gerschede",6661,731,401
"21","Borbeck-Mitte",11664,1019,102
"22","Bochold",13365,2296,2149
"23","Bergeborbeck",3199,429,633
"24","Altenessen-Nord",12094,2077,258
"25","Altenessen-Süd",17536,3654,4298
"40","Karnap",6107,754,901
"50","Vogelheim",4142,818,943
"37","Schonnebeck",8907,1049,1151
"38","Stoppenberg",1277,2375,1835
"39","Katernberg",16158,2867,3837
"34","Steele",13758,1274,1536
"35","Kray",15164,1363,242
"45","Freisenbruch",12855,2227,1247
"46","Horst",7744,1561,706
"47","Leithe",5917,456,596
"31","Heisingen",12125,347,373
"32","Kupferdreh",9999,512,667
"33","Byfang",2006,35,40
"43","Überruhr-Hinsel",7358,381,339
"44","Überruhr-Holthausen",68,941,555
"48","Burgaltendorf",9051,224,278
"26","Bredeney",9621,432,534
"27","Schuir",1368,60,73
"29","Werden",8884,300,644
"30","Heidhausen",5882,193,247
"42","Fischlaken",4141,104,116
"49","Kettwig",16178,547,824
