"Snr","Stadtteil","Zuzuege_Fortzuege","Umzuege_innerhalb_Stadtbezirk","Umzuege_in_andere_Stadbezirke"
"01","Stadtkern",242,-55,-30
"02","Ostviertel",296,-7,-32
"03","Nordviertel",786,-48,-147
"04","Westviertel",513,27,-85
"05","Südviertel",273,-31,-157
"06","Südostviertel",530,17,-86
"11","Huttrop",145,75,-16
"36","Frillendorf",44,22,-48
"10","Rüttenscheid",351,-56,-99
"12","Rellinghausen",49,16,-11
"13","Bergerhausen",51,37,5
"14","Stadtwald",14,3,12
"07","Altendorf",780,-59,-266
"08","Frohnhausen",420,138,26
"09","Holsterhausen",711,-133,-43
"15","Fulerum",-21,29,13
"28","Haarzopf",219,-27,-6
"41","Margarethenhöhe",19,52,2
"16","Schönebeck",47,-8,26
"17","Bedingrade",-17,85,6
"18","Frintrop",78,6,19
"19","Dellwig",14,8,35
"20","Gerschede",29,-34,43
"21","Borbeck-Mitte",93,62,8
"22","Bochold",279,-89,10
"23","Bergeborbeck",37,-30,46
"24","Altenessen-Nord",158,-16,-63
"25","Altenessen-Süd",1192,1,-117
"40","Karnap",350,63,57
"50","Vogelheim",-18,-48,39
"37","Schonnebeck",114,30,89
"38","Stoppenberg",201,-38,34
"39","Katernberg",153,8,30
"34","Steele",49,-26,121
"35","Kray",263,-8,14
"45","Freisenbruch",115,-81,61
"46","Horst",681,116,58
"47","Leithe",122,-1,-2
"31","Heisingen",-21,-29,63
"32","Kupferdreh",94,-24,-3
"33","Byfang",-2,22,16
"43","Überruhr-Hinsel",-4,51,43
"44","Überruhr-Holthausen",56,4,4
"48","Burgaltendorf",22,-24,59
"26","Bredeney",59,-32,-8
"27","Schuir",7,-9,-2
"29","Werden",92,-35,71
"30","Heidhausen",184,8,11
"42","Fischlaken",-19,25,32
"49","Kettwig",74,43,168
