"Snr","Stadtteil","Zuzuege_Fortzuege","Umzuege_innerhalb_Stadtbezirk","Umzuege_in_andere_Stadbezirke"
"01","Stadtkern",219,-75,42
"02","Ostviertel",147,-31,-76
"03","Nordviertel",298,61,-110
"04","Westviertel",40,10,43
"05","Südviertel",259,-35,-118
"06","Südostviertel",235,-45,-124
"11","Huttrop",62,99,-46
"36","Frillendorf",-5,16,-56
"10","Rüttenscheid",355,-36,1
"12","Rellinghausen",39,42,14
"13","Bergerhausen",-25,-2,-16
"14","Stadtwald",-45,-4,-3
"07","Altendorf",268,-23,-36
"08","Frohnhausen",265,25,-55
"09","Holsterhausen",160,-114,-145
"15","Fulerum",-32,19,16
"28","Haarzopf",-24,29,-3
"41","Margarethenhöhe",17,64,46
"16","Schönebeck",28,-87,40
"17","Bedingrade",-84,5,48
"18","Frintrop",-17,59,40
"19","Dellwig",-37,34,38
"20","Gerschede",13,-10,-21
"21","Borbeck-Mitte",-35,53,-49
"22","Bochold",63,-78,3
"23","Bergeborbeck",22,24,-31
"24","Altenessen-Nord",47,55,-9
"25","Altenessen-Süd",201,-83,-107
"40","Karnap",7,40,-29
"50","Vogelheim",-42,-12,79
"37","Schonnebeck",,58,57
"38","Stoppenberg",-16,-21,-15
"39","Katernberg",-26,-37,-26
"34","Steele",101,13,70
"35","Kray",-109,67,3
"45","Freisenbruch",-37,26,-11
"46","Horst",-24,-83,-5
"47","Leithe",32,-23,-47
"31","Heisingen",-34,-1,151
"32","Kupferdreh",-45,-3,25
"33","Byfang",-23,-1,4
"43","Überruhr-Hinsel",-13,-22,50
"44","Überruhr-Holthausen",3,20,36
"48","Burgaltendorf",-19,7,32
"26","Bredeney",72,-13,12
"27","Schuir",-13,-11,5
"29","Werden",46,-18,86
"30","Heidhausen",45,40,44
"42","Fischlaken",-4,-6,35
"49","Kettwig",7,8,118
