"Snr","Stadtteil","männlich","Weiblich","ehelich","nicht ehelich"
"01","Stadtkern","14","17","19","12"
"02","Ostviertel","32","31","41","22"
"03","Nordviertel","51","51","56","46"
"04","Westviertel","31","22","21","32"
"05","Südviertel","64","61","84","41"
"06","Südostviertel","87","75","95","67"
"11","Huttrop","81","62","104","39"
"36","Frillendorf","27","22","33","16"
"10","Rüttenscheid","163","155","225","93"
"12","Rellinghausen","14","13","17","10"
"13","Bergerhausen","60","36","70","26"
"14","Stadtwald","48","44","61","31"
"07","Altendorf","135","116","133","118"
"08","Frohnhausen","153","166","208","111"
"09","Holsterhausen","140","137","179","98"
"15","Fulerum","13","23","25","11"
"28","Haarzopf","29","35","48","16"
"41","Margarethenhöhe","27","27","36","18"
"16","Schönebeck","39","39","53","25"
"17","Bedingrade","39","40","52","27"
"18","Frintrop","33","31","37","27"
"19","Dellwig","33","35","48","20"
"20","Gerschede","41","27","47","21"
"21","Borbeck-Mitte","58","59","80","37"
"22","Bochold","106","109","138","77"
"23","Bergeborbeck","30","30","32","28"
"24","Altenessen-Nord","78","78","113","43"
"25","Altenessen-Süd","145","157","200","102"
"40","Karnap","44","33","40","37"
"50","Vogelheim","40","26","35","31"
"37","Schonnebeck","58","66","85","39"
"38","Stoppenberg","80","88","107","61"
"39","Katernberg","117","129","151","95"
"34","Steele","57","72","77","52"
"35","Kray","97","94","107","84"
"45","Freisenbruch","97","82","119","60"
"46","Horst","39","47","61","25"
"47","Leithe","26","31","33","24"
"31","Heisingen","39","55","75","19"
"32","Kupferdreh","62","44","79","27"
"33","Byfang","6","10",".","."
"43","Überruhr-Hinsel","31","27","41","17"
"44","Überruhr-Holthausen","28","28","48","8"
"48","Burgaltendorf","46","25",".","."
"26","Bredeney","46","45","73","18"
"27","Schuir",".",".","7","-"
"29","Werden","40","36","61","15"
"30","Heidhausen","19","29","40","8"
"42","Fischlaken",".",".","25","6"
"49","Kettwig","80","59","104","35"
