"Snr","Stadtteil","Zuzuege_Fortzuege","Umzuege_innerhalb_Stadtbezirk","Umzuege_in_andere_Stadbezirke"
"01","Stadtkern",56,-22,-46
"02","Ostviertel",38,-40,-91
"03","Nordviertel",-4,-19,-136
"04","Westviertel",-68,38,62
"05","Südviertel",58,-25,-147
"06","Südostviertel",-15,-2,-126
"11","Huttrop",87,50,-33
"36","Frillendorf",-68,20,-41
"10","Rüttenscheid",-45,-56,66
"12","Rellinghausen",19,23,-5
"13","Bergerhausen",-64,-4,26
"14","Stadtwald",-72,37,77
"07","Altendorf",24,6,-227
"08","Frohnhausen",-147,53,-191
"09","Holsterhausen",-88,-156,41
"15","Fulerum",-13,27,8
"28","Haarzopf",-73,36,60
"41","Margarethenhöhe",-108,34,81
"16","Schönebeck",-83,-1,2
"17","Bedingrade",-121,71,35
"18","Frintrop",-84,-11,12
"19","Dellwig",-60,-5,-31
"20","Gerschede",-88,-13,31
"21","Borbeck-Mitte",-181,48,-28
"22","Bochold",-52,-50,103
"23","Bergeborbeck",-37,-39,58
"24","Altenessen-Nord",-150,-14,-9
"25","Altenessen-Süd",-120,-25,-100
"40","Karnap",-49,38,-17
"50","Vogelheim",-37,1,11
"37","Schonnebeck",-62,4,-107
"38","Stoppenberg",-27,40,255
"39","Katernberg",-139,-44,-89
"34","Steele",-146,5,-10
"35","Kray",-63,76,3
"45","Freisenbruch",58,-49,6
"46","Horst",,-3,-27
"47","Leithe",6,-29,-88
"31","Heisingen",-36,6,177
"32","Kupferdreh",-99,-10,80
"33","Byfang",4,-6,-4
"43","Überruhr-Hinsel",-11,16,9
"44","Überruhr-Holthausen",-3,8,97
"48","Burgaltendorf",12,-14,27
"26","Bredeney",-40,-43,20
"27","Schuir",-4,2,-3
"29","Werden",42,-75,65
"30","Heidhausen",-19,18,46
"42","Fischlaken",-59,45,28
"49","Kettwig",-56,53,70
