"Snr","Stadtteil","Zuzuege_Fortzuege","Umzuege_innerhalb_Stadtbezirk","Umzuege_in_andere_Stadbezirke"
"01","Stadtkern",54,-48,-2
"02","Ostviertel",108,-9,-100
"03","Nordviertel",192,6,-34
"04","Westviertel",24,16,92
"05","Südviertel",97,2,-118
"06","Südostviertel",135,-55,-163
"11","Huttrop",-14,70,25
"36","Frillendorf",-35,18,-45
"10","Rüttenscheid",141,-29,50
"12","Rellinghausen",,-3,28
"13","Bergerhausen",-22,5,67
"14","Stadtwald",-37,27,70
"07","Altendorf",107,-50,-206
"08","Frohnhausen",-12,29,-132
"09","Holsterhausen",94,-90,22
"15","Fulerum",16,38,-9
"28","Haarzopf",-77,43,65
"41","Margarethenhöhe",-50,30,30
"16","Schönebeck",-45,1,68
"17","Bedingrade",-59,43,48
"18","Frintrop",-58,63,2
"19","Dellwig",-41,12,61
"20","Gerschede",-50,1,-7
"21","Borbeck-Mitte",26,-60,25
"22","Bochold",-67,-81,3
"23","Bergeborbeck",-68,21,-45
"24","Altenessen-Nord",-31,60,-35
"25","Altenessen-Süd",-125,-64,-199
"40","Karnap",-37,20,26
"50","Vogelheim",-25,-16,2
"37","Schonnebeck",-9,11,36
"38","Stoppenberg",15,15,123
"39","Katernberg",-46,-26,7
"34","Steele",-51,104,12
"35","Kray",105,37,-92
"45","Freisenbruch",-46,-11,-51
"46","Horst",25,-146,-61
"47","Leithe",9,16,-63
"31","Heisingen",-33,36,93
"32","Kupferdreh",15,-12,63
"33","Byfang",-6,-5,19
"43","Überruhr-Hinsel",-17,-15,75
"44","Überruhr-Holthausen",-35,30,47
"48","Burgaltendorf",-96,-34,90
"26","Bredeney",7,-2,10
"27","Schuir",-11,5,-3
"29","Werden",43,-49,12
"30","Heidhausen",34,11,-28
"42","Fischlaken",-1,3,46
"49","Kettwig",9,32,76
