"Snr","Stadtteil","nur_deutsch","doppelte","nur_auslaendische"
"01","Stadtkern",1713,478,13
"02","Ostviertel",4029,786,1788
"03","Nordviertel",4397,1182,2335
"04","Westviertel",1179,206,430
"05","Südviertel",8258,985,1796
"06","Südostviertel",7581,1328,2656
"11","Huttrop",11719,1238,1857
"36","Frillendorf",4679,438,569
"10","Rüttenscheid",24474,1454,2439
"12","Rellinghausen",3254,127,265
"13","Bergerhausen",10532,440,558
"14","Stadtwald",9392,274,298
"07","Altendorf",13342,2452,4885
"08","Frohnhausen",24773,2423,4072
"09","Holsterhausen",19711,196,3308
"15","Fulerum",3098,110,100
"28","Haarzopf",6275,152,206
"41","Margarethenhöhe",6577,404,406
"16","Schönebeck",9215,386,372
"17","Bedingrade",11084,544,442
"18","Frintrop",7713,406,373
"19","Dellwig",7912,677,484
"20","Gerschede",6583,757,433
"21","Borbeck-Mitte",11494,1054,1081
"22","Bochold",13237,2306,2246
"23","Bergeborbeck",3178,468,666
"24","Altenessen-Nord",12018,2127,2658
"25","Altenessen-Süd",17309,3795,442
"40","Karnap",6028,792,932
"50","Vogelheim",4074,858,961
"37","Schonnebeck",8903,1085,1216
"38","Stoppenberg",12598,2404,1862
"39","Katernberg",15923,296,3889
"34","Steele",13695,1326,1578
"35","Kray",15045,1407,2455
"45","Freisenbruch",12707,2283,1269
"46","Horst",7669,1522,717
"47","Leithe",5801,461,644
"31","Heisingen",12153,366,369
"32","Kupferdreh",9889,543,665
"33","Byfang",1978,36,41
"43","Überruhr-Hinsel",7267,404,373
"44","Überruhr-Holthausen",6747,946,563
"48","Burgaltendorf",9038,200,332
"26","Bredeney",9614,470,561
"27","Schuir",1328,61,71
"29","Werden",8863,309,694
"30","Heidhausen",5908,215,258
"42","Fischlaken",4143,109,111
"49","Kettwig",16201,567,824
