"Snr","Stadtteil","unter 55","55 bis 64","65 bis 74","75 bis 79","80 bis 84","85 und mehr","Durchschnittsalter"
"01","Stadtkern","4",".","8","5",".",6,"71,1"
"02","Ostviertel","11","10","36","20","28",43,"76,7"
"03","Nordviertel","5","16","21","17","13",12,"73,0"
"04","Westviertel","3","3","7","19","23",39,"80,9"
"05","Südviertel","10","6","18","16","30",31,"77,4"
"06","Südostviertel","16",".","23","19",".",26,"71,3"
"11","Huttrop","6","24","32","31","41",60,"77,8"
"36","Frillendorf","8","7","7","12","16",11,"72,4"
"10","Rüttenscheid","31","29","43","41","81",117,"77,4"
"12","Rellinghausen",".",".",".","7","7",30,"84,9"
"13","Bergerhausen","13","14","21","14","31",55,"77,5"
"14","Stadtwald",".",".",".","21","29",61,"80,0"
"07","Altendorf","34","34","58","40","44",53,"72,1"
"08","Frohnhausen","47","55","77","61","67",125,"74,6"
"09","Holsterhausen","38","24","60","52","49",74,"73,9"
"15","Fulerum",".",".","13","3","7",8,"73,1"
"28","Haarzopf","6","9","17","14","17",45,"79,0"
"41","Margarethenhöhe",".",".","21","16","21",42,"80,0"
"16","Schönebeck","6","8","23","20","20",38,"77,4"
"17","Bedingrade","11","11","33","31","19",46,"76,8"
"18","Frintrop","6","10","28","23","24",37,"77,2"
"19","Dellwig","13","19","36","20","24",35,"74,0"
"20","Gerschede","4","9","23","14","9",8,"72,1"
"21","Borbeck-Mitte","16","13","49","33","45",40,"75,2"
"22","Bochold","27","22","61","32","31",34,"71,6"
"23","Bergeborbeck","5","5","13","8","9",3,"70,7"
"24","Altenessen-Nord","19","25","47","36","45",35,"73,6"
"25","Altenessen-Süd","24","34","63","38","52",63,"73,8"
"40","Karnap","10","12","27","21","16",19,"73,2"
"50","Vogelheim","12","10","21","20","8",35,"74,6"
"37","Schonnebeck","12","12","27","30","31",46,"76,5"
"38","Stoppenberg","12","20","50","32","32",36,"74,6"
"39","Katernberg","22","35","48","47","48",50,"73,2"
"34","Steele","25","24","45","47","64",131,"79,1"
"35","Kray","24","21","51","42","36",40,"72,7"
"45","Freisenbruch","19","15","62","40","43",74,"76,7"
"46","Horst","3","7","10","17","13",16,"77,2"
"47","Leithe","6","10","25","14","17",14,"73,9"
"31","Heisingen","7","11","17","23","30",63,"80,4"
"32","Kupferdreh","10","14","26","20","34",60,"78,8"
"33","Byfang",".",".","3",".","4",5,"79,8"
"43","Überruhr-Hinsel",".",".","23",".","33",33,"79,2"
"44","Überruhr-Holthausen","12","9","24","16","33",45,"77,3"
"48","Burgaltendorf","4","10","10","22","16",18,"76,3"
"26","Bredeney","6","7","10","12","21",29,"78,0"
"27","Schuir",".","4","3",".","4",9,"77,5"
"29","Werden","4","15","23","12","33",51,"79,6"
"30","Heidhausen",".","5","14",".","26",35,"80,4"
"42","Fischlaken",".","5","9",".","10",12,"77,6"
"49","Kettwig","18","21","50","38","41",104,"78,3"
