"Snr","Stadtteil","unter 55","55 bis 64","65 bis 74","75 bis 79","80 bis 84","85 und mehr","Durchschnittsalter"
"01","Stadtkern",".","4","11",5,"3",".","70,9"
"02","Ostviertel","14","15","18",17,"12","47","75,8"
"03","Nordviertel",".","10","14",15,"6",".","70,1"
"04","Westviertel","6","3","16",16,"19","67","82,8"
"05","Südviertel","11","14","19",27,"20","48","76,6"
"06","Südostviertel","19","14","24",21,"16","24","71,6"
"11","Huttrop","15","23","43",25,"40","74","77,2"
"36","Frillendorf","3","4","14",10,"9","12","75,9"
"10","Rüttenscheid","14","26","64",49,"50","153","79,6"
"12","Rellinghausen",".",".","9",10,"15","29","81,7"
"13","Bergerhausen","7","14","35",32,"19","63","78,2"
"14","Stadtwald",".",".","22",17,"22","65","81,0"
"07","Altendorf","26","31","49",40,"24","32","70,7"
"08","Frohnhausen","23","37","88",67,"53","116","76,6"
"09","Holsterhausen","24","20","49",60,"43","85","76,4"
"15","Fulerum",".",".","15",7,"6","8","76,9"
"28","Haarzopf",".",".","23",19,"24","41","80,9"
"41","Margarethenhöhe","5","5","23",18,"13","53","80,2"
"16","Schönebeck","6","14","28",22,"11","35","75,9"
"17","Bedingrade","16","12","41",27,"24","33","74,2"
"18","Frintrop","8","10","23",19,"14","39","76,8"
"19","Dellwig","5","10","33",20,"13","33","75,9"
"20","Gerschede","10","8","25",24,"13","18","73,7"
"21","Borbeck-Mitte","19","20","42",35,"23","50","74,8"
"22","Bochold","19","14","39",60,"32","55","75,8"
"23","Bergeborbeck","4","4","9",7,"8","9","73,3"
"24","Altenessen-Nord","19","25","37",40,"28","50","75,2"
"25","Altenessen-Süd","40","40","70",60,"45","75","73,3"
"40","Karnap","9","9","16",18,"23","23","74,9"
"50","Vogelheim","5","8","23",29,"14","36","78,6"
"37","Schonnebeck","12","16","29",28,"26","30","74,2"
"38","Stoppenberg","13","22","47",38,"24","36","74,0"
"39","Katernberg","27","29","51",53,"27","45","72,6"
"34","Steele","19","26","53",50,"53","145","79,6"
"35","Kray","31","25","55",37,"22","49","71,5"
"45","Freisenbruch","20","19","59",43,"34","72","76,4"
"46","Horst","8","13","25",22,"10","14","72,1"
"47","Leithe","5","7","16",19,"7","12","74,0"
"31","Heisingen",".",".","21",17,"26","80","83,2"
"32","Kupferdreh","9","9","44",38,"17","60","78,0"
"33","Byfang",".",".","4",8,".",".","76,0"
"43","Überruhr-Hinsel","6","18","19",29,"22","53","78,5"
"44","Überruhr-Holthausen","10","12","16",23,"24","50","77,4"
"48","Burgaltendorf","5","9","19",17,".",".","75,6"
"26","Bredeney","5","5","12",9,"16","31","79,3"
"27","Schuir",".",".",".",4,"3","8","79,6"
"29","Werden","6","10","22",20,"19","44","78,3"
"30","Heidhausen",".",".",".",8,"17","43","80,3"
"42","Fischlaken","5","4","9",11,"10","12","74,8"
"49","Kettwig","10","13","50",48,"42","106","80,2"
