"Snr","Stadtteil","unter 55","55 bis 64","65 bis 74","75 bis 79","80 bis 84","85 und mehr","Durchschnittsalter"
"01","Stadtkern","6","6",8,"3","3","3","64,7"
"02","Ostviertel","13","12",17,"12","26","54","77,8"
"03","Nordviertel","7","10",28,"26","15","11","72,9"
"04","Westviertel","4","4",8,"7","23","57","83,5"
"05","Südviertel","7","13",17,"19","16","28","74,9"
"06","Südostviertel","17","9",30,"13","11","20","69,7"
"11","Huttrop","21","19",34,"25","38","61","75,1"
"36","Frillendorf","7","8",22,"8","10","12","72,7"
"10","Rüttenscheid","19","26",59,"48","54","133","78,6"
"12","Rellinghausen","7","6",14,"3","11","39","79,3"
"13","Bergerhausen","8","13",26,"23","30","63","78,5"
"14","Stadtwald","9","6",23,"18","33","76","81,0"
"07","Altendorf","19","19",49,"47","45","59","75,7"
"08","Frohnhausen","34","32",80,"63","72","131","76,6"
"09","Holsterhausen","22","32",44,"35","55","96","76,9"
"15","Fulerum",".",".",11,".","7","3","71,6"
"28","Haarzopf",".",".",10,"17","15","46","82,1"
"41","Margarethenhöhe","5",".",15,".","22","64","81,9"
"16","Schönebeck","7","7",31,"14","24","35","77,1"
"17","Bedingrade","12","11",39,"27","23","45","76,1"
"18","Frintrop","5","9",23,"19","14","38","78,0"
"19","Dellwig","6","13",23,"23","26","36","76,8"
"20","Gerschede","12",".",27,"14",".",".","71,9"
"21","Borbeck-Mitte","8","15",45,"23","35","43","76,2"
"22","Bochold","24","26",62,"38","36","33","71,7"
"23","Bergeborbeck","6",".",12,"6",".",".","67,9"
"24","Altenessen-Nord","24","16",39,"30","27","33","72,2"
"25","Altenessen-Süd","34","32",66,"59","41","62","72,9"
"40","Karnap","9","8",17,"16","15","11","73,1"
"50","Vogelheim","6","7",27,"12","22","22","75,9"
"37","Schonnebeck","15","16",35,"24","34","51","75,9"
"38","Stoppenberg","10","25",38,"35","35","38","74,8"
"39","Katernberg","20","26",67,"39","51","62","75,1"
"34","Steele","16","25",56,"47","52","127","79,2"
"35","Kray","30","22",52,"25","38","34","71,1"
"45","Freisenbruch","9","20",41,"36","47","77","78,8"
"46","Horst","9","13",29,"19","13","10","70,5"
"47","Leithe","12","5",18,"17","9","12","71,5"
"31","Heisingen","6","8",25,"29","40","74","80,5"
"32","Kupferdreh","11","18",29,"35","34","62","77,8"
"33","Byfang",".",".",3,"5","4","5","77,1"
"43","Überruhr-Hinsel","9","7",20,"16","21","34","77,3"
"44","Überruhr-Holthausen","9","5",31,"19","24","33","77,0"
"48","Burgaltendorf",".",".",16,"14","12","24","76,4"
"26","Bredeney","5","10",22,"22","20","27","76,1"
"27","Schuir",".",".",6,".",".","8","82,1"
"29","Werden","5","7",20,"23","33","51","80,4"
"30","Heidhausen","5","9",15,"12","21","40","78,6"
"42","Fischlaken",".",".",13,".",".","7","74,9"
"49","Kettwig","16","26",31,"26","49","115","79,4"
