"Snr","Stadtteil","männlich","Weiblich","ehelich","nicht ehelich"
"01","Stadtkern",8,19,17,10
"02","Ostviertel",33,39,38,34
"03","Nordviertel",42,39,45,36
"04","Westviertel",3,11,10,4
"05","Südviertel",59,55,79,35
"06","Südostviertel",78,65,90,53
"11","Huttrop",74,68,96,46
"36","Frillendorf",20,24,34,10
"10","Rüttenscheid",143,122,182,83
"12","Rellinghausen",15,14,23,6
"13","Bergerhausen",41,44,64,21
"14","Stadtwald",39,32,51,20
"07","Altendorf",124,110,137,97
"08","Frohnhausen",130,138,165,103
"09","Holsterhausen",129,134,169,94
"15","Fulerum",14,10,15,9
"28","Haarzopf",19,23,34,8
"41","Margarethenhöhe",20,17,28,9
"16","Schönebeck",29,29,39,19
"17","Bedingrade",45,31,59,17
"18","Frintrop",39,29,45,23
"19","Dellwig",29,38,39,28
"20","Gerschede",27,36,47,16
"21","Borbeck-Mitte",53,52,58,47
"22","Bochold",80,68,85,63
"23","Bergeborbeck",28,33,27,34
"24","Altenessen-Nord",80,93,112,61
"25","Altenessen-Süd",133,119,153,99
"40","Karnap",33,32,39,26
"50","Vogelheim",21,28,34,15
"37","Schonnebeck",42,46,40,48
"38","Stoppenberg",76,71,99,48
"39","Katernberg",128,93,130,91
"34","Steele",81,59,82,58
"35","Kray",90,95,98,87
"45","Freisenbruch",77,56,84,49
"46","Horst",32,24,40,16
"47","Leithe",18,33,34,17
"31","Heisingen",59,47,91,15
"32","Kupferdreh",36,49,64,21
"33","Byfang",4,7,.,.
"43","Überruhr-Hinsel",22,25,32,15
"44","Überruhr-Holthausen",30,32,48,14
"48","Burgaltendorf",36,35,.,.
"26","Bredeney",36,38,58,16
"27","Schuir",6,3,.,.
"29","Werden",42,33,58,17
"30","Heidhausen",23,22,36,9
"42","Fischlaken",18,15,.,.
"49","Kettwig",57,45,73,29
