SNR,Stadtteil,u3,3 bis 5,6 bis 9,10 bis 14,15 bis 17,18 bis 24,25 bis 34,35 bis 44,45 bis 54,55 bis 64,65 bis 69,70 bis 74,75 bis 79,80 bis 84,85+
1,Stadtkern,107,82,111,177,83,364,661,513,430,300,148,125,73,59,42
2,Ostviertel,226,179,240,307,198,637,1175,1001,922,637,306,304,241,185,203
3,Nordviertel,286,218,288,344,211,969,1471,1087,950,685,368,362,303,211,101
4,Westviertel,50,43,43,27,32,138,374,231,228,173,98,98,100,101,181
5,Südviertel,259,216,254,298,215,921,2172,1857,1467,1104,582,469,436,400,330
6,Südostviertel,384,348,370,420,288,1112,2049,177,1584,1104,621,484,355,292,191
7,Altendorf,670,639,750,944,616,2065,3118,3232,2788,2048,1126,994,731,504,364
8,Frohnhausen,819,723,951,1281,871,2674,4703,5302,4526,341,1949,1608,1262,887,751
9,Holsterhausen,620,512,595,763,502,2122,475,395,339,2578,1428,1286,1056,844,689
10,Rüttenscheid,611,509,698,891,528,1846,472,4862,3871,3124,1797,1353,1188,1052,882
11,Huttrop,339,306,433,614,420,1065,1696,2165,2168,1857,974,910,668,637,472
12,Rellinghausen,58,73,119,142,95,176,316,510,576,457,245,189,197,222,277
13,Bergerhausen,241,227,369,462,322,723,1188,1876,1825,1494,963,757,589,446,376
14,Stadtwald,213,226,337,413,272,544,859,1649,1564,14,872,613,440,417,418
15,Fulerum,77,69,106,137,79,182,269,548,503,459,302,278,166,101,63
16,Schönebeck,198,214,337,444,291,714,911,1669,172,1382,763,643,445,299,237
17,Bedingrade,215,248,392,585,396,848,109,198,1981,1663,1026,896,584,375,233
18,Frintrop,156,171,310,428,268,612,903,1355,1348,111,631,599,404,267,205
19,Dellwig,164,216,300,491,321,742,1,1461,1463,1202,670,553,400,231,194
20,Gerschede,167,174,229,416,311,612,810,1267,1345,938,504,506,360,193,124
21,Borbeck-Mitte,262,274,412,559,416,1117,1562,2026,2165,1658,930,919,686,454,328
22,Bochold,471,445,626,944,725,1576,2055,2542,2858,2235,1152,1025,781,515,298
23,Bergeborbeck,123,129,177,261,170,392,533,610,698,433,230,237,166,104,58
24,Altenessen-Nord,500,524,706,1017,636,1534,2026,2536,2569,1927,991,804,674,439,275
25,Altenessen-Süd,818,852,1061,1309,892,2426,3581,377,366,3045,147,1213,962,626,476
26,Bredeney,237,230,354,468,302,570,967,1748,1617,1531,896,673,495,412,319
27,Schuir,30,33,45,82,49,102,118,210,247,220,130,98,83,62,58
28,Haarzopf,111,136,199,294,179,365,479,102,1019,910,575,472,356,280,249
29,Werden,192,238,304,365,235,649,967,1525,144,1374,844,593,449,407,354
30,Heidhausen,126,148,220,314,187,419,491,963,1011,918,494,365,267,254,217
31,Heisingen,244,249,423,557,366,709,953,1817,2085,1835,1018,849,660,481,426
32,Kupferdreh,265,278,374,553,403,751,1178,1943,1741,1463,750,624,444,358,330
33,Byfang,39,36,70,87,69,120,170,366,357,309,157,146,93,72,48
34,Steele,355,372,543,777,550,1294,1825,2586,2609,2079,1136,938,742,656,656
35,Kray,514,496,745,1058,721,1997,2427,313,294,197,1144,1036,846,546,335
36,Frillendorf,126,114,194,276,218,522,684,1031,979,764,380,289,217,146,97
37,Schonnebeck,281,318,440,661,424,891,1291,1782,1721,139,614,595,502,358,218
38,Stoppenberg,424,500,740,972,603,1376,1799,2734,2607,1929,944,896,671,384,252
39,Katernberg,641,782,1051,1471,967,2094,2785,3495,343,2426,1249,1159,935,594,363
40,Karnap,223,233,330,472,333,674,906,1354,1257,832,450,370,282,261,128
41,Margarethenhöhe,152,156,254,371,243,554,775,1092,997,792,569,491,382,311,307
42,Fischlaken,100,108,130,164,133,261,353,663,692,661,359,299,199,150,98
43,Überruhr-Hinsel,130,135,227,387,259,567,674,1125,1295,1103,685,593,470,326,267
44,Überruhr-Holthausen,184,181,307,364,254,566,797,1142,1275,1216,606,533,454,301,235
45,Freisenbruch,409,417,621,856,622,1258,1655,2228,2519,2022,1284,1134,768,544,395
46,Horst,200,272,369,552,414,870,1034,1464,1671,1454,796,575,391,225,115
47,Leithe,154,166,219,389,233,658,726,994,1006,791,500,538,378,199,111
48,Burgaltendorf,190,210,288,427,288,600,884,146,1557,1428,761,564,397,274,204
49,Kettwig,376,395,591,781,472,948,148,2849,2679,258,1434,1105,875,670,576
50,Vogelheim,150,179,252,365,269,555,633,917,931,709,309,335,266,150,156
