"Snr","Stadtteil","nur_deutsch","doppelte","nur_auslaendische"
"01","Stadtkern",1554,444,1198
"02","Ostviertel",4336,766,1694
"03","Nordviertel",47,963,1984
"04","Westviertel",1297,188,518
"05","Südviertel",8686,776,1537
"06","Südostviertel",7893,108,2323
"11","Huttrop",1211,1021,1538
"36","Frillendorf",5032,344,527
"10","Rüttenscheid",24667,1183,2256
"12","Rellinghausen",3295,104,235
"13","Bergerhausen",10908,395,532
"14","Stadtwald",9567,238,324
"07","Altendorf",13932,2084,433
"08","Frohnhausen",25785,2019,3836
"09","Holsterhausen",20457,1561,3039
"15","Fulerum",3173,62,88
"28","Haarzopf",6359,109,146
"41","Margarethenhöhe",6736,372,381
"16","Schönebeck",9547,321,371
"17","Bedingrade",11485,494,477
"18","Frintrop",8037,347,310
"19","Dellwig",8182,638,485
"20","Gerschede",6844,712,383
"21","Borbeck-Mitte",11687,855,1089
"22","Bochold",13897,2074,2079
"23","Bergeborbeck",3346,384,554
"24","Altenessen-Nord",12509,1904,2634
"25","Altenessen-Süd",18211,3408,4321
"40","Karnap",6384,683,970
"50","Vogelheim",4462,702,960
"37","Schonnebeck",9285,980,111
"38","Stoppenberg",12773,2196,1794
"39","Katernberg",16679,2719,3958
"34","Steele",1428,1214,1614
"35","Kray",15691,1239,2724
"45","Freisenbruch",13251,2224,1192
"46","Horst",7886,1597,721
"47","Leithe",611,400,574
"31","Heisingen",12056,252,343
"32","Kupferdreh",10226,448,689
"33","Byfang",2051,29,46
"43","Überruhr-Hinsel",7521,372,242
"44","Überruhr-Holthausen",6898,911,555
"48","Burgaltendorf",9227,197,197
"26","Bredeney",9809,374,510
"27","Schuir",1428,51,52
"29","Werden",8929,280,617
"30","Heidhausen",5906,134,243
"42","Fischlaken",4151,104,132
"49","Kettwig",16368,445,858
