"Snr","Stadtteil","Zuzuege_Fortzuege","Umzuege_innerhalb_Stadtbezirk","Umzuege_in_andere_Stadbezirke"
"01","Stadtkern",123,-30,23
"02","Ostviertel",244,-34,-161
"03","Nordviertel",322,-65,-167
"04","Westviertel",143,61,142
"05","Südviertel",242,6,-33
"06","Südostviertel",384,-66,-231
"11","Huttrop",138,94,-164
"36","Frillendorf",19,34,-14
"10","Rüttenscheid",350,-83,-168
"12","Rellinghausen",93,23,-18
"13","Bergerhausen",54,6,-2
"14","Stadtwald",15,54,6
"07","Altendorf",369,-8,-97
"08","Frohnhausen",397,50,-141
"09","Holsterhausen",410,-121,-3
"15","Fulerum",-25,42,4
"28","Haarzopf",-21,29,40
"41","Margarethenhöhe",-7,8,39
"16","Schönebeck",-7,4,34
"17","Bedingrade",23,18,27
"18","Frintrop",103,51,59
"19","Dellwig",-5,-27,57
"20","Gerschede",-54,-48,17
"21","Borbeck-Mitte",27,64,86
"22","Bochold",32,-73,-48
"23","Bergeborbeck",-9,11,-
"24","Altenessen-Nord",31,-2,55
"25","Altenessen-Süd",287,-22,-66
"40","Karnap",-1,48,6
"50","Vogelheim",17,-24,48
"37","Schonnebeck",87,-4,10
"38","Stoppenberg",131,-40,53
"39","Katernberg",64,44,93
"34","Steele",139,23,118
"35","Kray",96,-11,85
"45","Freisenbruch",20,72,-37
"46","Horst",29,-86,-85
"47","Leithe",-25,2,-13
"31","Heisingen",-107,-17,63
"32","Kupferdreh",113,45,72
"33","Byfang",-18,-18,9
"43","Überruhr-Hinsel",47,-9,57
"44","Überruhr-Holthausen",-37,27,63
"48","Burgaltendorf",-42,-28,18
"26","Bredeney",-47,-34,39
"27","Schuir",1,12,16
"29","Werden",5,-63,-28
"30","Heidhausen",22,34,63
"42","Fischlaken",-20,-2,34
"49","Kettwig",14,53,40
