SNR,Stadtteil,u3,3 bis 5,6 bis 9,10 bis 14,15 bis 17,18 bis 24,25 bis 34,35 bis 44,45 bis 54,55 bis 64,65 bis 69,70 bis 74,75 bis 79,80 bis 84,85+
1,Stadtkern,84,79,103,118,93,514,892,466,410,300,103,125,109,71,101
2,Ostviertel,192,176,221,250,189,770,1232,959,932,698,227,225,238,144,153
3,Nordviertel,246,249,321,336,202,1286,1571,1008,954,755,244,283,262,181,134
4,Westviertel,43,42,44,47,23,188,404,239,251,216,92,116,118,105,159
5,Südviertel,288,261,264,304,170,1044,2793,1627,1451,1175,433,464,395,268,330
6,Südostviertel,364,282,426,412,261,1382,2376,1625,1641,1194,453,492,388,221,181
7,Altendorf,611,613,859,944,574,2384,3356,2824,3054,2376,784,893,803,483,389
8,Frohnhausen,746,760,1002,1176,745,3035,5299,4189,4857,371,1393,1529,1404,832,805
9,Holsterhausen,609,527,629,728,435,2366,5551,3461,351,2825,1035,114,1118,670,679
10,Rüttenscheid,705,552,643,780,497,182,5669,4156,417,3245,1324,1571,1282,917,1037
11,Huttrop,362,352,491,572,374,117,1963,1784,2288,2003,760,841,864,505,509
12,Rellinghausen,82,78,100,165,84,219,303,429,606,501,165,231,214,183,323
13,Bergerhausen,245,239,324,428,274,732,1309,1393,1909,1691,627,782,712,419,421
14,Stadtwald,227,221,301,407,264,515,907,1226,1735,1407,593,779,600,346,451
15,Fulerum,76,68,84,142,91,154,323,390,589,449,212,266,251,132,90
16,Schönebeck,175,205,299,406,250,640,103,1116,1757,1578,566,691,584,354,298
17,Bedingrade,216,216,312,499,342,846,124,1338,2146,1764,746,820,813,429,326
18,Frintrop,172,190,249,342,268,664,961,993,1447,1256,454,530,555,315,246
19,Dellwig,209,203,265,355,273,772,1,1109,1565,1268,499,556,467,279,204
20,Gerschede,177,196,228,316,204,618,935,899,1368,1145,370,425,415,218,155
21,Borbeck-Mitte,270,297,384,533,371,1186,1748,1636,2234,1907,688,764,809,485,432
22,Bochold,451,496,644,773,539,1537,2256,2051,2646,2533,928,949,923,535,373
23,Bergeborbeck,158,148,187,215,148,470,608,498,679,549,159,171,184,93,60
24,Altenessen-Nord,470,459,689,897,626,1427,2084,2236,2569,2239,816,850,702,445,353
25,Altenessen-Süd,744,753,1018,1235,763,2536,3819,3134,3723,3341,1159,1218,1019,663,524
26,Bredeney,207,259,305,427,298,582,1025,1362,1782,1416,696,833,629,370,375
27,Schuir,26,38,42,57,51,99,123,167,252,212,108,98,96,53,55
28,Haarzopf,134,135,197,275,199,345,479,749,1128,964,408,569,446,278,307
29,Werden,188,189,285,410,226,597,928,1177,1552,1308,624,791,612,366,458
30,Heidhausen,132,158,232,307,157,429,495,786,1121,978,418,422,342,210,261
31,Heisingen,291,293,415,540,337,690,989,1478,218,2008,829,942,813,500,459
32,Kupferdreh,306,288,393,467,300,795,1232,1455,2044,1508,566,684,554,334,334
33,Byfang,39,43,49,71,49,106,183,210,394,327,143,142,138,60,67
34,Steele,376,326,484,721,452,128,1968,1937,2699,2303,892,964,929,603,769
35,Kray,518,476,656,891,619,1833,2539,2375,3276,2348,813,868,864,555,424
36,Frillendorf,141,147,183,217,141,498,722,696,973,874,304,304,230,158,127
37,Schonnebeck,298,292,398,557,355,991,1298,1421,1798,162,565,496,504,362,283
38,Stoppenberg,422,483,626,857,607,1457,1949,2163,2883,2304,782,799,779,458,348
39,Katernberg,609,689,1002,1353,894,221,2672,2974,3656,2803,1003,974,983,627,465
40,Karnap,190,216,301,379,288,721,859,999,141,1031,304,368,311,185,206
41,Margarethenhöhe,147,165,254,319,201,591,704,870,1192,903,395,516,472,304,344
42,Fischlaken,97,122,179,188,97,261,339,542,779,617,306,314,276,135,118
43,Überruhr-Hinsel,147,162,236,289,204,521,745,883,1277,126,471,589,564,375,323
44,Überruhr-Holthausen,182,200,266,346,216,489,767,929,1296,1231,560,564,498,358,311
45,Freisenbruch,420,427,604,817,499,1272,1837,1814,2404,2191,842,1108,988,552,454
46,Horst,213,232,312,420,341,697,1044,1093,1611,148,597,684,536,284,198
47,Leithe,126,171,253,288,220,643,817,759,1102,880,324,413,442,233,166
48,Burgaltendorf,208,224,292,393,239,585,922,1128,1612,149,613,724,530,318,235
49,Kettwig,328,384,547,711,503,945,1426,2043,3046,2581,1208,1315,1081,724,691
50,Vogelheim,171,159,228,309,196,539,730,723,910,822,246,224,269,182,164
