"Snr","Stadtteil","männlich","Weiblich","ehelich","nicht ehelich"
"01","Stadtkern","17","17","23","11"
"02","Ostviertel","34","32","40","26"
"03","Nordviertel","54","41","51","44"
"04","Westviertel","7","9","10","6"
"05","Südviertel","53","57","73","37"
"06","Südostviertel","67","69","79","57"
"11","Huttrop","59","47","70","36"
"36","Frillendorf","28","20","26","22"
"10","Rüttenscheid","132","132","191","73"
"12","Rellinghausen","8","17","18","7"
"13","Bergerhausen","51","36","67","20"
"14","Stadtwald","39","45","65","19"
"07","Altendorf","110","106","127","89"
"08","Frohnhausen","145","138","189","94"
"09","Holsterhausen","91","121","142","70"
"15","Fulerum","15","13","19","9"
"28","Haarzopf","22","19","33","8"
"41","Margarethenhöhe","18","26","27","17"
"16","Schönebeck","27","28","37","18"
"17","Bedingrade","26","40","46","20"
"18","Frintrop","23","28","34","17"
"19","Dellwig","37","33","46","24"
"20","Gerschede","21","32","38","15"
"21","Borbeck-Mitte","47","46","54","39"
"22","Bochold","74","72","101","45"
"23","Bergeborbeck","18","20","15","23"
"24","Altenessen-Nord","75","61","97","39"
"25","Altenessen-Süd","121","124","168","77"
"40","Karnap","30","33","44","19"
"50","Vogelheim","33","26","34","25"
"37","Schonnebeck","54","50","66","38"
"38","Stoppenberg","61","64","86","39"
"39","Katernberg","104","85","120","69"
"34","Steele","60","70","80","50"
"35","Kray","81","79","99","61"
"45","Freisenbruch","66","71","93","44"
"46","Horst","45","42","66","21"
"47","Leithe","24","24","28","20"
"31","Heisingen","42","39","67","14"
"32","Kupferdreh","46","47","70","23"
"33","Byfang","3","6",".","."
"43","Überruhr-Hinsel","24","22",".","."
"44","Überruhr-Holthausen","33","29","49","13"
"48","Burgaltendorf","39","30","54","15"
"26","Bredeney","33","32","52","13"
"27","Schuir",".",".",".","."
"29","Werden","39","27","47","19"
"30","Heidhausen","12","22","26","8"
"42","Fischlaken",".",".",".","."
"49","Kettwig","61","46","84","23"
