"Snr","Stadtteil","Zuzuege_Fortzuege","Umzuege_innerhalb_Stadtbezirk","Umzuege_in_andere_Stadbezirke"
"01","Stadtkern",172,3,7
"02","Ostviertel",126,-13,-115
"03","Nordviertel",212,-6,-66
"04","Westviertel",61,-42,19
"05","Südviertel",145,-69,-91
"06","Südostviertel",241,-8,-113
"11","Huttrop",13,109,-117
"36","Frillendorf",21,26,-37
"10","Rüttenscheid",131,-97,-31
"12","Rellinghausen",29,8,-5
"13","Bergerhausen",11,17,60
"14","Stadtwald",-45,72,50
"07","Altendorf",168,35,-139
"08","Frohnhausen",83,15,-233
"09","Holsterhausen",211,-98,-40
"15","Fulerum",-5,6,43
"28","Haarzopf",15,23,15
"41","Margarethenhöhe",-24,19,16
"16","Schönebeck",18,7,25
"17","Bedingrade",-77,-22,67
"18","Frintrop",-79,23,19
"19","Dellwig",-42,22,33
"20","Gerschede",-25,-29,35
"21","Borbeck-Mitte",134,61,174
"22","Bochold",-8,-87,5
"23","Bergeborbeck",-50,25,-6
"24","Altenessen-Nord",-50,37,38
"25","Altenessen-Süd",147,-7,-135
"40","Karnap",-49,5,-44
"50","Vogelheim",-43,-35,41
"37","Schonnebeck",-111,33,88
"38","Stoppenberg",40,-38,23
"39","Katernberg",-63,5,114
"34","Steele",11,58,81
"35","Kray",-171,-84,-223
"45","Freisenbruch",-82,28,32
"46","Horst",-28,-29,-53
"47","Leithe",23,27,-29
"31","Heisingen",-27,,153
"32","Kupferdreh",-15,33,2
"33","Byfang",-16,,12
"43","Überruhr-Hinsel",-14,2,4
"44","Überruhr-Holthausen",16,-2,87
"48","Burgaltendorf",-71,-33,-48
"26","Bredeney",16,4,-4
"27","Schuir",21,1,6
"29","Werden",100,-38,44
"30","Heidhausen",9,34,66
"42","Fischlaken",-13,-25,26
"49","Kettwig",-13,24,144
